 rseg,lseg,Shortname,Landuse_Type,const,lbs
EL0_5151_0000,A24019,UrbStrmRest,pul,SED,18.058311
EL2_5270_0001,A24045,UrbStrmRest,imh,TN,4.3192532E-2
EL2_5270_0001,A24045,UrbStrmRest,imh,TP,5.3990665E-3
EL2_5270_0001,A24045,UrbStrmRest,imh,SED,4.3192534
EL2_5270_0001,A24045,UrbStrmRest,iml,TN,9.0660095E-2
EL2_5270_0001,A24045,UrbStrmRest,iml,TP,1.1332512E-2
EL2_5270_0001,A24045,UrbStrmRest,iml,SED,9.0660095
EL2_5270_0001,A24045,UrbStrmRest,puh,TN,3.7295941E-2
EL2_5270_0001,A24045,UrbStrmRest,puh,TP,4.6619927E-3
EL2_5270_0001,A24045,UrbStrmRest,puh,SED,3.7295942
EL2_5270_0001,A24045,UrbStrmRest,pul,TN,0.64936215
EL2_5270_0001,A24045,UrbStrmRest,pul,TP,8.1170268E-2
EL2_5270_0001,A24045,UrbStrmRest,pul,SED,64.936218
EL2_5270_0001,A24047,UrbStrmRest,imh,TN,2.1154024E-2
EL2_5270_0001,A24047,UrbStrmRest,imh,TP,2.644253E-3
EL2_5270_0001,A24047,UrbStrmRest,imh,SED,2.1154025
EL2_5270_0001,A24047,UrbStrmRest,iml,TN,7.7908717E-2
EL2_5270_0001,A24047,UrbStrmRest,iml,TP,9.7385896E-3
EL2_5270_0001,A24047,UrbStrmRest,iml,SED,7.7908716
EL2_5270_0001,A24047,UrbStrmRest,puh,TN,1.8721677E-2
EL2_5270_0001,A24047,UrbStrmRest,puh,TP,2.3402097E-3
EL2_5270_0001,A24047,UrbStrmRest,puh,SED,1.8721678
EL2_5270_0001,A24047,UrbStrmRest,pul,TN,0.6169309
EL2_5270_0001,A24047,UrbStrmRest,pul,TP,7.7116363E-2
EL2_5270_0001,A24047,UrbStrmRest,pul,SED,61.693092
EL0_5271_0000,A24047,UrbStrmRest,imh,TN,0
EL0_5271_0000,A24047,UrbStrmRest,imh,TP,0
EL0_5271_0000,A24047,UrbStrmRest,imh,SED,0
EL0_5271_0000,A24047,UrbStrmRest,iml,TN,0
EL0_5271_0000,A24047,UrbStrmRest,iml,TP,0
EL0_5271_0000,A24047,UrbStrmRest,iml,SED,0
