TABLE->,PHOS-CMAX,PHOS-SVALPM#1,PHOS-SVALPM#1,PHOS-SVALPM#1,PHOS-SVALPM#2,PHOS-SVALPM#2,PHOS-SVALPM#2,PHOS-SVALPM#3,PHOS-SVALPM#3,PHOS-SVALPM#3,PHOS-SVALPM#4,PHOS-SVALPM#4,PHOS-SVALPM#4
VARS->,CMAX,XFIX,K1,N1,XFIX,K1,N1,XFIX,K1,N1,XFIX,K1,N1
A42061,50,1.000000,2.738570,1.5,20.00000,9.128853,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42063,50,1.000000,0.782796,1.5,20.00000,31.93681,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42065,50,1.000000,6.894704,1.5,20.00000,3.625972,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42067,50,1.000000,34.36272,1.5,20.00000,0.727532,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42069,50,1.000000,25.80910,1.5,20.00000,0.968651,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42071,50,1.000000,22.31672,1.5,20.00000,1.120237,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42075,50,1.000000,39.97585,1.5,20.00000,0.625378,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42079,50,1.000000,13.34989,1.5,20.00000,1.872674,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42081,50,1.000000,16.33421,1.5,20.00000,1.530529,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42083,50,1.000000,10.72575,1.5,20.00000,2.330839,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42087,50,1.000000,1.063886,1.5,20.00000,23.49874,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42093,50,1.000000,2.732853,1.5,20.00000,9.147944,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42097,50,1.000000,32.87077,1.5,20.00000,0.760553,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42099,50,1.000000,26.18466,1.5,20.00000,0.954758,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42105,50,1.000000,6.637824,1.5,20.00000,3.766297,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42107,50,1.000000,31.01040,1.5,20.00000,0.806182,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42109,50,1.000000,26.10645,1.5,20.00000,0.957617,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42111,50,1.000000,4.907802,1.5,20.00000,5.093931,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42113,50,1.000000,11.56145,1.5,20.00000,2.162359,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42115,50,1.000000,9.311267,1.5,20.00000,2.684919,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42117,50,1.000000,17.33779,1.5,20.00000,1.441938,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42119,50,1.000000,1.138120,1.5,20.00000,21.96605,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42127,50,1.000000,2.400428,1.5,20.00000,10.41482,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42131,50,1.000000,13.09012,1.5,20.00000,1.909836,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42133,50,1.000000,20.73471,1.5,20.00000,1.205707,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A47091,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A47163,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51001,50,1.000000,2.462367,1.5,20.00000,10.15283,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51003,50,1.000000,51.18534,1.5,20.00000,0.488421,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51005,50,1.000000,6.763673,1.5,20.00000,3.696218,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51007,50,1.000000,4.918306,1.5,20.00000,5.083051,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51009,50,1.000000,32.14190,1.5,20.00000,0.777801,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51011,50,1.000000,26.34155,1.5,20.00000,0.949072,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51013,50,1.000000,0.732870,1.5,20.00000,34.11246,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51015,50,1.000000,28.05774,1.5,20.00000,0.891020,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51017,50,1.000000,6.188443,1.5,20.00000,4.039789,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51019,50,1.000000,12.65093,1.5,20.00000,1.976140,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51021,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51023,50,1.000000,10.29891,1.5,20.00000,2.427443,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51025,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51027,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51029,50,1.000000,22.29851,1.5,20.00000,1.121151,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51031,50,1.000000,24.08275,1.5,20.00000,1.038088,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51033,50,1.000000,32.81781,1.5,20.00000,0.761781,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51035,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51036,50,1.000000,2.169289,1.5,20.00000,11.52453,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51037,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51041,50,1.000000,51.92943,1.5,20.00000,0.481421,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51043,50,1.000000,2.403792,1.5,20.00000,10.40023,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51045,50,1.000000,9.076521,1.5,20.00000,2.754359,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51047,50,1.000000,27.02115,1.5,20.00000,0.925202,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51049,50,1.000000,2.204478,1.5,20.00000,11.34056,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51051,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51053,50,1.000000,7.070879,1.5,20.00000,3.535627,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51057,50,1.000000,50.68268,1.5,20.00000,0.493265,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51059,50,1.000000,20.01195,1.5,20.00000,1.249254,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51061,50,1.000000,2.742581,1.5,20.00000,9.115498,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
