TABLE->,PWAT-PARM1,PWAT-PARM1,PWAT-PARM1,PWAT-PARM1,PWAT-PARM1,PWAT-PARM1,PWAT-PARM1,PWAT-PARM1,PWAT-PARM1,PWAT-PARM2,PWAT-PARM2,PWAT-PARM2,PWAT-PARM2,PWAT-PARM2,PWAT-PARM2,PWAT-PARM2,PWAT-PARM3,PWAT-PARM3,PWAT-PARM3,PWAT-PARM3,PWAT-PARM3,PWAT-PARM3,PWAT-PARM3,PWAT-PARM4,PWAT-PARM4,PWAT-PARM4,PWAT-PARM4,PWAT-PARM4,PWAT-PARM4,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-UZSN,MON-UZSN,MON-UZSN,MON-UZSN,MON-UZSN,MON-UZSN,MON-UZSN,MON-UZSN,MON-UZSN,MON-UZSN,MON-UZSN,MON-UZSN,MON-MANNING,MON-MANNING,MON-MANNING,MON-MANNING,MON-MANNING,MON-MANNING,MON-MANNING,MON-MANNING,MON-MANNING,MON-MANNING,MON-MANNING,MON-MANNING,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,PWAT-STATE1,PWAT-STATE1,PWAT-STATE1,PWAT-STATE1,PWAT-STATE1,PWAT-STATE1,PWAT-STATE1
VARS->,CSNO,RTOP,UZFG,VCS,VUZ,VNN,VIFW,VIRC,VLE,FOREST,LZSN,INFILT,LSUR,SLSUR,KVARY,AGWR,PETMAX,PETMIN,INFEXP,INFILD,DEEPFR,BASETPR,AGWETP,CEPSC,UZSN,NSUR,INTFW,IRC,LZETP,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,CEPS,SURS,UZS,IFWS,LZS,AGWS,GWVS
A24033,1,1,0,1,1,1,0,0,1,0,12.00000,0.030914,327,0.048,0.,0.921402,40,35,2,2,0,0,0.001000,NA,0.7,NA,2.000000,0.300000,NA,0.067,0.065,0.062,0.06,0.064,0.085,0.138,0.15,0.146,0.109,0.087,0.077,1.008000,1.008000,1.008000,1.008000,1.008000,1.176000,1.596000,1.680000,1.680000,1.344000,1.176000,1.092000,0.247568461,0.257117498,0.251606205,0.26456891,0.304733463,0.371860002,0.387828123,0.375579376,0.343610612,0.255597533,0.240256641,0.241951381,0.232,0.221,0.208,0.2,0.218,0.312,0.547,0.6,0.582,0.416,0.322,0.276,NA,NA,0.7,NA,5,1,0
A24035,1,1,0,1,1,1,0,0,1,0,12.00000,0.061174,518,0.008,0.,0.920000,40,35,2,2,0,0,0.001000,NA,0.7,NA,2.000000,0.336429,NA,0.067,0.065,0.062,0.06,0.064,0.085,0.138,0.15,0.146,0.109,0.087,0.077,1.008000,1.008000,1.008000,1.008000,1.008000,1.176000,1.596000,1.680000,1.680000,1.344000,1.176000,1.092000,0.2123491,0.223244542,0.222212832,0.225594648,0.216125407,0.237419768,0.237559938,0.23024449,0.22016782,0.197405649,0.198685608,0.205940016,0.232,0.221,0.208,0.2,0.218,0.312,0.547,0.6,0.582,0.416,0.322,0.276,NA,NA,0.7,NA,5,1,0
A24037,1,1,0,1,1,1,0,0,1,0,12.00000,0.023312,399,0.025,0.,0.920000,40,35,2,2,0,0,0.001000,NA,0.7,NA,2.050731,0.368606,NA,0.067,0.065,0.062,0.06,0.064,0.085,0.138,0.15,0.146,0.109,0.087,0.077,1.008000,1.008000,1.008000,1.008000,1.008000,1.176000,1.596000,1.680000,1.680000,1.344000,1.176000,1.092000,0.239227687,0.248848932,0.244260962,0.254677381,0.278426827,0.32934214,0.342518551,0.333057713,0.308666519,0.243107649,0.230867881,0.233568132,0.232,0.221,0.208,0.2,0.218,0.312,0.547,0.6,0.582,0.416,0.322,0.276,NA,NA,0.7,NA,5,1,0
A24039,1,1,0,1,1,1,0,0,1,0,8.000000,0.038968,596,0.004,0.,0.941834,40,35,2,2,0,0,0.044631,NA,0.7,NA,2.000000,0.467699,NA,0.067,0.065,0.062,0.06,0.064,0.085,0.138,0.15,0.146,0.109,0.087,0.077,0.672000,0.672000,0.672000,0.672000,0.672000,0.784000,1.064000,1.120000,1.120000,0.896000,0.784000,0.728000,0.250107878,0.261576909,0.25676786,0.267084174,0.28047313,0.326245231,0.340175864,0.331748287,0.309599096,0.251967725,0.239455088,0.243361389,0.232,0.221,0.208,0.2,0.218,0.312,0.547,0.6,0.582,0.416,0.322,0.276,NA,NA,0.7,NA,5,1,0
A24041,1,1,0,1,1,1,0,0,1,0,9.767185,0.055283,514,0.009,0.,0.946019,40,35,2,2,0,0,0.023216,NA,0.7,NA,2.000000,0.321404,NA,0.067,0.065,0.062,0.06,0.064,0.085,0.138,0.15,0.146,0.109,0.087,0.077,0.820444,0.820444,0.820444,0.820444,0.820444,0.957184,1.299036,1.367406,1.367406,1.093925,0.957184,0.888814,0.235521214,0.249669482,0.247830621,0.252724456,0.238741666,0.264706926,0.267034997,0.258654223,0.246202674,0.218632515,0.218266876,0.227198704,0.232,0.221,0.208,0.2,0.218,0.312,0.547,0.6,0.582,0.416,0.322,0.276,NA,NA,0.7,NA,5,1,0
A24043,1,1,0,1,1,1,0,0,1,0,12.00000,0.132165,305,0.058,0.,0.974436,40,35,2,2,0,0,0.001000,NA,0.7,NA,1.151714,0.461134,NA,0.067,0.065,0.062,0.06,0.064,0.085,0.138,0.15,0.146,0.109,0.087,0.077,1.008000,1.008000,1.008000,1.008000,1.008000,1.176000,1.596000,1.680000,1.680000,1.344000,1.176000,1.092000,0.249182157,0.267053463,0.26570815,0.271419868,0.26319708,0.305434449,0.30379279,0.289466857,0.269720218,0.222721024,0.226445962,0.238669625,0.232,0.221,0.208,0.2,0.218,0.312,0.547,0.6,0.582,0.416,0.322,0.276,NA,NA,0.7,NA,5,1,0
A24045,1,1,0,1,1,1,0,0,1,0,8.000000,0.038983,564,0.006,0.,0.941183,40,35,2,2,0,0,0.046308,NA,0.7,NA,2.000000,0.468756,NA,0.067,0.065,0.062,0.06,0.064,0.085,0.138,0.15,0.146,0.109,0.087,0.077,0.672000,0.672000,0.672000,0.672000,0.672000,0.784000,1.064000,1.120000,1.120000,0.896000,0.784000,0.728000,0.246216471,0.255600877,0.250133526,0.262069449,0.291162039,0.346751775,0.363295941,0.35394935,0.327216938,0.254699041,0.239055913,0.240696233,0.232,0.221,0.208,0.2,0.218,0.312,0.547,0.6,0.582,0.416,0.322,0.276,NA,NA,0.7,NA,5,1,0
A24047,1,1,0,1,1,1,0,0,1,0,8.000000,0.038968,541,0.007,0.,0.941834,40,35,2,2,0,0,0.044631,NA,0.7,NA,2.000000,0.467699,NA,0.067,0.065,0.062,0.06,0.064,0.085,0.138,0.15,0.146,0.109,0.087,0.077,0.672000,0.672000,0.672000,0.672000,0.672000,0.784000,1.064000,1.120000,1.120000,0.896000,0.784000,0.728000,0.218637317,0.221578471,0.215764898,0.230172837,0.303542775,0.385217149,0.403196399,0.389740442,0.351209985,0.239404664,0.220594412,0.216907226,0.232,0.221,0.208,0.2,0.218,0.312,0.547,0.6,0.582,0.416,0.322,0.276,NA,NA,0.7,NA,5,1,0
A24510,1,1,0,1,1,1,0,0,1,0,12.00000,0.060270,317,0.052,0.,0.956668,40,35,2,2,0,0,0.001000,NA,0.7,NA,2.197956,0.300000,NA,0.067,0.065,0.062,0.06,0.064,0.085,0.138,0.15,0.146,0.109,0.087,0.077,1.008000,1.008000,1.008000,1.008000,1.008000,1.176000,1.596000,1.680000,1.680000,1.344000,1.176000,1.092000,0.206507788,0.206507788,0.204488881,0.202582771,0.190410331,0.253219083,0.30563719,0.292555081,0.269047421,0.201530749,0.199796071,0.200285276,0.232,0.221,0.208,0.2,0.218,0.312,0.547,0.6,0.582,0.416,0.322,0.276,NA,NA,0.7,NA,5,1,0
A36003,1,1,0,1,1,1,0,0,1,0,12.00000,0.019561,289,0.067,0.,0.920000,40,35,2,2,0,0,0.001000,NA,0.7,NA,2.000000,0.453698,NA,0.067,0.065,0.062,0.06,0.064,0.085,0.138,0.15,0.146,0.109,0.087,0.077,1.008000,1.008000,1.008000,1.008000,1.008000,1.176000,1.596000,1.680000,1.680000,1.344000,1.176000,1.092000,0.220071723,0.220668334,0.219526963,0.228087242,0.275749068,0.358014279,0.358636814,0.310949743,0.201179184,0.201447187,0.20469824,0.208139522,0.232,0.221,0.208,0.2,0.218,0.312,0.547,0.6,0.582,0.416,0.322,0.276,NA,NA,0.7,NA,5,1,0
A36007,1,1,0,1,1,1,0,0,1,0,8.401985,0.042855,267,0.082,0.,0.963511,40,35,2,2,0,0,0.036598,NA,0.7,NA,2.000000,0.443149,NA,0.067,0.065,0.062,0.06,0.064,0.085,0.138,0.15,0.146,0.109,0.087,0.077,0.705767,0.705767,0.705767,0.705767,0.705767,0.823394,1.117464,1.176278,1.176278,0.941022,0.823394,0.764581,0.180074063,0.18023537,0.178832154,0.189356275,0.283427137,0.386853774,0.386474779,0.318120705,0.179162107,0.177775071,0.177194568,0.176847934,0.232,0.221,0.208,0.2,0.218,0.312,0.547,0.6,0.582,0.416,0.322,0.276,NA,NA,0.7,NA,5,1,0
A36015,1,1,0,1,1,1,0,0,1,0,10.06429,0.020221,285,0.070,0.,0.956336,40,35,2,2,0,0,0.010023,NA,0.7,NA,2.000000,0.427694,NA,0.067,0.065,0.062,0.06,0.064,0.085,0.138,0.15,0.146,0.109,0.087,0.077,0.845401,0.845401,0.845401,0.845401,0.845401,0.986301,1.338551,1.409001,1.409001,1.127201,0.986301,0.915851,0.198516297,0.198875366,0.197564695,0.207151221,0.280022482,0.374006219,0.37416929,0.315303289,0.189419872,0.188866497,0.189993874,0.19133492,0.232,0.221,0.208,0.2,0.218,0.312,0.547,0.6,0.582,0.416,0.322,0.276,NA,NA,0.7,NA,5,1,0
