YEAR,MONTH,DAY,LOAD (KG/DAY),LOWER 95% CI,UPPER 95% CI,SE,SEP,Q
1985,   3,  19,   0.54797295E+03,   0.33700130E+03,   0.84351967E+03,   0.24894362E+02,   0.13003266E+03,   0.34200000E+03
1985,   3,  20,   0.52878552E+03,   0.32519429E+03,   0.81399702E+03,   0.24050157E+02,   0.12548479E+03,   0.33000000E+03
1985,   3,  21,   0.51298693E+03,   0.31547337E+03,   0.78968707E+03,   0.23351946E+02,   0.12173957E+03,   0.32000000E+03
1985,   3,  22,   0.52801377E+03,   0.32472689E+03,   0.81279479E+03,   0.23985958E+02,   0.12529608E+03,   0.32800000E+03
1985,   3,  23,   0.67519873E+03,   0.41533869E+03,   0.10391790E+04,   0.30292797E+02,   0.16015045E+03,   0.41200000E+03
1985,   3,  24,   0.90724665E+03,   0.55821140E+03,   0.13960579E+04,   0.40162309E+02,   0.21508818E+03,   0.54200000E+03
1985,   3,  25,   0.11208343E+04,   0.68972605E+03,   0.17245301E+04,   0.49209625E+02,   0.26564925E+03,   0.65900000E+03
1985,   3,  26,   0.12059829E+04,   0.74215994E+03,   0.18554698E+04,   0.52797374E+02,   0.28580248E+03,   0.70400000E+03
1985,   3,  27,   0.11414132E+04,   0.70241096E+03,   0.17561510E+04,   0.50024208E+02,   0.27051019E+03,   0.66700000E+03
1985,   3,  28,   0.99482089E+03,   0.61215747E+03,   0.15306913E+04,   0.43776557E+02,   0.23580122E+03,   0.58500000E+03
1985,   3,  29,   0.83811871E+03,   0.51567811E+03,   0.12896853E+04,   0.37102945E+02,   0.19869962E+03,   0.49700000E+03
1985,   3,  30,   0.79175363E+03,   0.48713614E+03,   0.12183677E+04,   0.35110014E+02,   0.18771862E+03,   0.47000000E+03
1985,   3,  31,   0.79935181E+03,   0.49182027E+03,   0.12300418E+04,   0.35408732E+02,   0.18951294E+03,   0.47300000E+03
1985,   4,   1,   0.80700554E+03,   0.49653874E+03,   0.12418009E+04,   0.35709205E+02,   0.19132031E+03,   0.47600000E+03
1985,   4,   2,   0.74770310E+03,   0.46003065E+03,   0.11505874E+04,   0.33168432E+02,   0.17727679E+03,   0.44200000E+03
1985,   4,   3,   0.69921752E+03,   0.43018303E+03,   0.10760088E+04,   0.31085409E+02,   0.16579380E+03,   0.41400000E+03
1985,   4,   4,   0.64710513E+03,   0.39810281E+03,   0.99585142E+03,   0.28846160E+02,   0.15345181E+03,   0.38400000E+03
1985,   4,   5,   0.61654277E+03,   0.37929118E+03,   0.94883668E+03,   0.27522720E+02,   0.14621171E+03,   0.36600000E+03
1985,   4,   6,   0.58771771E+03,   0.36154934E+03,   0.90449355E+03,   0.26272557E+02,   0.13938280E+03,   0.34900000E+03
1985,   4,   7,   0.56961621E+03,   0.35040984E+03,   0.87664317E+03,   0.25479400E+02,   0.13509288E+03,   0.33800000E+03
1985,   4,   8,   0.56766661E+03,   0.34921458E+03,   0.87363471E+03,   0.25375514E+02,   0.13462736E+03,   0.33600000E+03
1985,   4,   9,   0.55487431E+03,   0.34134378E+03,   0.85395000E+03,   0.24808975E+02,   0.13159455E+03,   0.32800000E+03
1985,   4,  10,   0.53480879E+03,   0.32899510E+03,   0.82307887E+03,   0.23931904E+02,   0.12683958E+03,   0.31600000E+03
1985,   4,  11,   0.51468404E+03,   0.31661004E+03,   0.79211650E+03,   0.23051970E+02,   0.12207052E+03,   0.30400000E+03
1985,   4,  12,   0.50896524E+03,   0.31309412E+03,   0.78331108E+03,   0.22787548E+02,   0.12071259E+03,   0.30000000E+03
1985,   4,  13,   0.50140689E+03,   0.30844566E+03,   0.77167637E+03,   0.22444554E+02,   0.11891910E+03,   0.29500000E+03
1985,   4,  14,   0.49018291E+03,   0.30154042E+03,   0.75440377E+03,   0.21944967E+02,   0.11625763E+03,   0.28800000E+03
1985,   4,  15,   0.50258089E+03,   0.30917830E+03,   0.77346262E+03,   0.22454348E+02,   0.11918947E+03,   0.29400000E+03
1985,   4,  16,   0.54442369E+03,   0.33494543E+03,   0.83780630E+03,   0.24216144E+02,   0.12909245E+03,   0.31600000E+03
1985,   4,  17,   0.57375633E+03,   0.35301120E+03,   0.88290759E+03,   0.25440620E+02,   0.13603271E+03,   0.33100000E+03
1985,   4,  18,   0.56992013E+03,   0.35065455E+03,   0.87699725E+03,   0.25255572E+02,   0.13512038E+03,   0.32800000E+03
1985,   4,  19,   0.54749975E+03,   0.33685516E+03,   0.84250607E+03,   0.24281884E+02,   0.12980853E+03,   0.31500000E+03
1985,   4,  20,   0.50463722E+03,   0.31046950E+03,   0.77657576E+03,   0.22438709E+02,   0.11965693E+03,   0.29100000E+03
1985,   4,  21,   0.46730041E+03,   0.28748663E+03,   0.71914259E+03,   0.20828002E+02,   0.11081311E+03,   0.27000000E+03
1985,   4,  22,   0.45391841E+03,   0.27925251E+03,   0.69855142E+03,   0.20237370E+02,   0.10764087E+03,   0.26200000E+03
1985,   4,  23,   0.43309008E+03,   0.26643391E+03,   0.66650762E+03,   0.19328930E+02,   0.10270549E+03,   0.25000000E+03
1985,   4,  24,   0.41589894E+03,   0.25585469E+03,   0.64005778E+03,   0.18575454E+02,   0.98631279E+02,   0.24000000E+03
1985,   4,  25,   0.38388753E+03,   0.23615155E+03,   0.59081316E+03,   0.17187535E+02,   0.91047595E+02,   0.22200000E+03
1985,   4,  26,   0.37027567E+03,   0.22777606E+03,   0.56986814E+03,   0.16586422E+02,   0.87820805E+02,   0.21400000E+03
1985,   4,  27,   0.34555519E+03,   0.21256195E+03,   0.53183668E+03,   0.15508683E+02,   0.81963279E+02,   0.20000000E+03
1985,   4,  28,   0.33184319E+03,   0.20412491E+03,   0.51073745E+03,   0.14902867E+02,   0.78712702E+02,   0.19200000E+03
1985,   4,  29,   0.31808568E+03,   0.19565987E+03,   0.48956820E+03,   0.14295037E+02,   0.75451337E+02,   0.18400000E+03
1985,   4,  30,   0.29508270E+03,   0.18150350E+03,   0.45417761E+03,   0.13289129E+02,   0.70000214E+02,   0.17100000E+03
1985,   5,   1,   0.26839311E+03,   0.16507811E+03,   0.41311554E+03,   0.12122866E+02,   0.63675634E+02,   0.15600000E+03
1985,   5,   2,   0.25635035E+03,   0.15766882E+03,   0.39458355E+03,   0.11588075E+02,   0.60820263E+02,   0.14900000E+03
1985,   5,   3,   0.29403482E+03,   0.18087002E+03,   0.45254298E+03,   0.13196886E+02,   0.69743094E+02,   0.16900000E+03
1985,   5,   4,   0.36983193E+03,   0.22753801E+03,   0.56911651E+03,   0.16423271E+02,   0.87688615E+02,   0.20900000E+03
1985,   5,   5,   0.39367397E+03,   0.24222186E+03,   0.60577612E+03,   0.17419641E+02,   0.93329990E+02,   0.22100000E+03
1985,   5,   6,   0.43879287E+03,   0.27000736E+03,   0.67515581E+03,   0.19314559E+02,   0.10400762E+03,   0.24400000E+03
1985,   5,   7,   0.43816340E+03,   0.26962455E+03,   0.67417836E+03,   0.19268037E+02,   0.10385492E+03,   0.24300000E+03
1985,   5,   8,   0.36087606E+03,   0.22204141E+03,   0.55530822E+03,   0.15969933E+02,   0.85554739E+02,   0.20200000E+03
1985,   5,   9,   0.28985841E+03,   0.17832200E+03,   0.44607376E+03,   0.12923383E+02,   0.68736244E+02,   0.16400000E+03
1985,   5,  10,   0.24188096E+03,   0.14878985E+03,   0.37227147E+03,   0.10850789E+02,   0.57371539E+02,   0.13800000E+03
1985,   5,  11,   0.23136562E+03,   0.14232007E+03,   0.35609043E+03,   0.10384852E+02,   0.54878509E+02,   0.13200000E+03
1985,   5,  12,   0.21708825E+03,   0.13353438E+03,   0.33412279E+03,   0.97572337E+01,   0.51494508E+02,   0.12400000E+03
1985,   5,  13,   0.20092749E+03,   0.12358931E+03,   0.30925811E+03,   0.90484827E+01,   0.47664428E+02,   0.11500000E+03
1985,   5,  14,   0.18661250E+03,   0.11478046E+03,   0.28723261E+03,   0.84192286E+01,   0.44271523E+02,   0.10700000E+03
1985,   5,  15,   0.16673535E+03,   0.10254781E+03,   0.25665111E+03,   0.75497472E+01,   0.39561113E+02,   0.96000000E+02
1985,   5,  16,   0.17091181E+03,   0.10512132E+03,   0.26307025E+03,   0.77191886E+01,   0.40548308E+02,   0.98000000E+02
1985,   5,  17,   0.19943757E+03,   0.12268418E+03,   0.30694263E+03,   0.89352866E+01,   0.47302255E+02,   0.11300000E+03
1985,   5,  18,   0.24168713E+03,   0.14869767E+03,   0.37191992E+03,   0.10731152E+02,   0.57304685E+02,   0.13500000E+03
1985,   5,  19,   0.23280294E+03,   0.14323132E+03,   0.35824921E+03,   0.10338178E+02,   0.55198499E+02,   0.13000000E+03
1985,   5,  20,   0.20866557E+03,   0.12837422E+03,   0.32111846E+03,   0.92936744E+01,   0.49480567E+02,   0.11700000E+03
1985,   5,  21,   0.19024636E+03,   0.11703757E+03,   0.29278247E+03,   0.84933109E+01,   0.45116608E+02,   0.10700000E+03
1985,   5,  22,   0.19265157E+03,   0.11852118E+03,   0.29647624E+03,   0.85844921E+01,   0.45683954E+02,   0.10800000E+03
1985,   5,  23,   0.19887623E+03,   0.12235631E+03,   0.30604439E+03,   0.88386039E+01,   0.47155658E+02,   0.11100000E+03
1985,   5,  24,   0.27475788E+03,   0.16907990E+03,   0.42274095E+03,   0.12052375E+02,   0.65118455E+02,   0.15000000E+03
1985,   5,  25,   0.58077501E+03,   0.35753381E+03,   0.89330626E+03,   0.24895289E+02,   0.13753916E+03,   0.30200000E+03
1985,   5,  26,   0.76281889E+03,   0.46965388E+03,   0.11732125E+04,   0.32480115E+02,   0.18061136E+03,   0.38900000E+03
1985,   5,  27,   0.64994159E+03,   0.40014057E+03,   0.99964064E+03,   0.27745791E+02,   0.15389853E+03,   0.33400000E+03
1985,   5,  28,   0.51109881E+03,   0.31463657E+03,   0.78614226E+03,   0.21923560E+02,   0.12104115E+03,   0.26600000E+03
1985,   5,  29,   0.40428926E+03,   0.24886270E+03,   0.62189545E+03,   0.17431378E+02,   0.95762180E+02,   0.21300000E+03
1985,   5,  30,   0.32470354E+03,   0.19985634E+03,   0.49950643E+03,   0.14071366E+02,   0.76924100E+02,   0.17300000E+03
1985,   5,  31,   0.28754623E+03,   0.17697858E+03,   0.44235995E+03,   0.12491811E+02,   0.68126944E+02,   0.15400000E+03
1985,   6,   1,   0.28424322E+03,   0.17494798E+03,   0.43727404E+03,   0.12338496E+02,   0.67342579E+02,   0.15200000E+03
1985,   6,   2,   0.27493721E+03,   0.16922071E+03,   0.42295696E+03,   0.11932629E+02,   0.65137459E+02,   0.14700000E+03
1985,   6,   3,   0.25763990E+03,   0.15857236E+03,   0.39635122E+03,   0.11190531E+02,   0.61041004E+02,   0.13800000E+03
1985,   6,   4,   0.23042641E+03,   0.14181770E+03,   0.35449660E+03,   0.10030760E+02,   0.54597564E+02,   0.12400000E+03
1985,   6,   5,   0.24086847E+03,   0.14825072E+03,   0.37054850E+03,   0.10458481E+02,   0.57066796E+02,   0.12900000E+03
1985,   6,   6,   0.70371881E+03,   0.43330333E+03,   0.10822454E+04,   0.29807599E+02,   0.16659034E+03,   0.35200000E+03
1985,   6,   7,   0.11224134E+04,   0.69115193E+03,   0.17260666E+04,   0.47351156E+02,   0.26567315E+03,   0.54400000E+03
1985,   6,   8,   0.14589903E+04,   0.89838891E+03,   0.22436956E+04,   0.61628087E+02,   0.34535414E+03,   0.69400000E+03
1985,   6,   9,   0.14148080E+04,   0.87118916E+03,   0.21757387E+04,   0.59736142E+02,   0.33489129E+03,   0.67300000E+03
1985,   6,  10,   0.14267040E+04,   0.87851405E+03,   0.21940331E+04,   0.60239406E+02,   0.33770729E+03,   0.67700000E+03
1985,   6,  11,   0.12744633E+04,   0.78478427E+03,   0.19598835E+04,   0.53747927E+02,   0.30165992E+03,   0.60800000E+03
1985,   6,  12,   0.80136632E+03,   0.49346209E+03,   0.12323503E+04,   0.33797182E+02,   0.18968013E+03,   0.39300000E+03
1985,   6,  13,   0.85534605E+03,   0.52670809E+03,   0.13153481E+04,   0.36045301E+02,   0.20245185E+03,   0.41700000E+03
1985,   6,  14,   0.71085316E+03,   0.43772580E+03,   0.10931591E+04,   0.29981904E+02,   0.16825640E+03,   0.35000000E+03
1985,   6,  15,   0.57414529E+03,   0.35353499E+03,   0.88294662E+03,   0.24256904E+02,   0.13590545E+03,   0.28600000E+03
1985,   6,  16,   0.55375416E+03,   0.34097987E+03,   0.85158644E+03,   0.23391520E+02,   0.13107799E+03,   0.27600000E+03
1985,   6,  17,   0.43558584E+03,   0.26820556E+03,   0.66988375E+03,   0.18447144E+02,   0.10311505E+03,   0.22000000E+03
1985,   6,  18,   0.35023763E+03,   0.21564426E+03,   0.53864595E+03,   0.14873103E+02,   0.82918054E+02,   0.17900000E+03
1985,   6,  19,   0.29887439E+03,   0.18401354E+03,   0.45966382E+03,   0.12717429E+02,   0.70762490E+02,   0.15400000E+03
1985,   6,  20,   0.25403795E+03,   0.15640237E+03,   0.39071772E+03,   0.10834852E+02,   0.60151411E+02,   0.13200000E+03
