CATCODE,STAID,UNIQID,STATE_CD,NAME,NOTES,Used in Calibration?,Do we have Data?
PL0_5750_0001,1661050,5750,24,"ST CLEMENT CREEK NEAR CLEMENTS, MD",,yes,yes
PL0_5830_0001,MCN0017,5830,24,,,no,no
PL1_4460_4780,1648000,4460,11,"ROCK CREEK AT SHERRILL DRIVE WASHINGTON, DC",,yes,yes
PL1_4540_0001,1649500,4540,24,"NORTH EAST BRANCH ANACOSTIA RIVER AT RIVERDALE, MD","Gage inside poly, but close to downstream end",yes,yes
PL1_5230_0001,1658000,5230,24,"MATTAWOMAN CREEK NEAR POMONKEY, MD",,no,yes
PL1_5370_5470,1656000,5370,51,"CEDAR RUN NEAR CATLETT, VA",,yes,yes
PL1_5910_0001,1661500,5910,24,"ST MARYS RIVER AT GREAT MILLS, MD",,yes,yes
PL2_5300_5630,1660920,5300,24,"ZEKIAH SWAMP RUN NEAR NEWTOWN, MD",,yes,yes
PM0_4640_4820,CBJ0001,4640,24,,,no,no
PM1_3120_3400,1639500,3120,24,"BIG PIPE CREEK AT BRUCEVILLE, MD","gage inside poly, but close to downstream end",yes,yes
PM1_3510_4000,1637500,3510,24,"CATOCTIN CREEK NEAR MIDDLETOWN, MD",,yes,yes
PM1_4250_4500,1645000,4250,24,"SENECA CREEK AT DAWSONVILLE, MD",,yes,yes
PM1_4430_4200,1638480,4430,51,"CATOCTIN CREEK AT TAYLORSTOWN, VA","gage inside poly, but close to end",yes,yes
PM2_2860_3040,1639000,2860,24,"MONOCACY RIVER AT BRIDGEPORT, MD",,yes,yes
PM2_4860_4670,1643700,4860,51,"GOOSE CREEK NEAR MIDDLEBURG, VA",,yes,yes
PM3_4670_4660,1644000,4670,51,"GOOSE CREEK NEAR LEESBURG, VA",,yes,yes
PM4_4040_0003,1643000,4040,24,"MONOCACY RIVER AT JUG BRIDGE NEAR FREDERICK, MD",DB 3340 3710 drain to this gage,yes,yes
PM7_4200_0003,1638500,4200,24,"POTOMAC RIVER AT POINT OF ROCKS, MD",DB 4430 4290 drain to this gage,yes,yes
PM7_4820_0001,1646500,4820,24,"POTOMAC RIVER NEAR WASH, DC LITTLE FALLS PUMP STA",,yes,yes
PM7_4820_0001,1646502,4820,24,"POTOMAC RIVER (ADJUSTED) NEAR WASH, DC",SAME LOCATION as 01646500,yes,yes
PM7_4820_0001,1646580,4820,24,,another gage is INSIDE 4820,yes,yes
PS0_6150_6160,1621410,6150,51,"BLACKS RUN AT RT 726 AT HARRISONBURG, VA",,no,yes
PS1_4790_4830,1634500,4790,51,"CEDAR CREEK NEAR WINCHESTER, VA",,yes,yes
PS2_5550_5560,1632000,5550,51,"N F SHENANDOAH RIVER AT COOTES STORE, VA",,yes,yes
PS2_5560_5100,1633000,5560,51,"N F SHENANDOAH RIVER AT MOUNT JACKSON, VA",,yes,yes
PS2_6490_6420,1627500,6490,51,"SOUTH RIVER AT HARRISTON, VA",,yes,yes
PS2_6660_6490,1626850,6660,51,"SOUTH RIVER NEAR DOOMS, VA",,yes,yes
PS2_6730_6660,1626000,6730,51,"SOUTH RIVER NEAR WAYNESBORO, VA",,yes,yes
PS3_5100_5080,1634000,5100,51,"N F SHENANDOAH RIVER NEAR STRASBURG, VA",,yes,yes
PS3_6161_6280,1622000,6161,51,"NORTH RIVER NEAR BURKETOWN, VA",,yes,yes
PS3_6460_6230,1625000,6460,51,"MIDDLE RIVER NEAR GROTTOES, VA",,yes,yes
PS4_5840_5240,1629500,5840,51,"S F SHENANDOAH RIVER NEAR LURAY, VA",,yes,yes
PS4_6360_5840,1628500,6360,51,"S F SHENANDOAH RIVER NEAR LYNNWOOD, VA",,yes,yes
PS5_4380_4370,1636500,4380,54,"SHENANDOAH RIVER AT MILLVILLE, WV",,yes,yes
PS5_5240_5200,1631000,5240,51,"S F SHENANDOAH RIVER AT FRONT ROYAL, VA",,yes,yes
PU0_3000_3090,ANT0366,3000,24,,,no,no
PU0_6080_5620,1605500,6080,54,"SOUTH BRANCH POTOMAC RIVER AT FRANKLIN, WV",,yes,yes
PU1_3030_3440,TOC0038,3030,24,,,no,no
PU1_3100_3690,1610155,3100,24,"SIDELING HILL CREEK NEAR BELLEGROVE, MD",,yes,yes
PU1_3170_3580,EVI0118,3170,24,,,no,no
PU1_3850_4190,1596500,3850,24,"SAVAGE RIVER NEAR BARTON, MD",,yes,yes
PU1_3940_3970,GEO0009,3940,24,,,no,no
PU1_4190_4300,1597500,4190,24,"SAVAGE RIV BL SAVAGE RIV DAM NEAR BLOOMINGTON, MD",,yes,yes
PU1_4840_4760,1595200,4840,54,"STONY RIVER NEAR MOUNT STORM,WV",,yes,yes
PU2_2840_3080,LIC0094,2840,24,,,no,no
PU2_3090_4050,1619500,3090,24,"ANTIETAM CREEK NEAR SHARPSBURG, MD",,yes,yes
PU2_3140_3680,WIL0067,3140,24,,,no,no
PU2_3180_3370,TOW0283,3180,24,,,no,no
PU2_4220_3900,1616500,4220,54,"OPEQUON CREEK NEAR MARTINSBURG, WV",,yes,yes
PU2_4360_4160,1604500,4360,54,"PATTERSON CREEK NEAR HEADSVILLE, WV",,yes,yes
PU2_4720_4750,1595000,4720,24,"NORTH BRANCH POTOMAC RIVER AT STEYER, MD",,yes,yes
PU2_4730_4220,1615000,4730,51,"OPEQUON CREEK NEAR BERRYVILLE, VA",,yes,yes
PU2_5190_4310,1608000,5190,54,"SO FK SOUTH BRANCH POTOMAC R NR MOOREFIELD, WV",,yes,yes
PU2_6050_5190,1607500,6050,54,"SO FK SO BR POTOMAC R AT BRANDYWINE, WV",,yes,yes
PU3_3290_3390,1614500,3290,24,"CONOCOCHEAGUE CREEK AT FAIRVIEW, MD",,yes,yes
PU3_3680_3890,1601500,3680,24,"WILLS CREEK NEAR CUMBERLAND, MD",Gage is mid-poly represents itself,yes,yes
PU3_3860_3610,1611500,3860,54,"CACAPON RIVER NEAR GREAT CACAPON, WV",,yes,yes
PU4_3890_3990,1603000,3890,24,"NORTH BRANCH POTOMAC RIVER NEAR CUMBERLAND, MD",,yes,yes
PU4_4310_4210,1608500,4310,54,"SOUTH BRANCH POTOMAC RIVER NEAR SPRINGFIELD, WV",,yes,yes
PU4_4440_0003,1598500,4440,54,"NORTH BRANCH POTOMAC RIVER AT LUKE, MD",DB 4450 4300 drain to this gage,yes,yes
PU4_5050_0003,1606500,5050,54,"SO. BRANCH POTOMAC RIVER NR PETERSBURG, WV",DB 5210 5380 drain to this gage,yes,yes
PU6_3610_3530,1613000,3610,24,"POTOMAC RIVER AT HANCOCK, MD",,yes,yes
PU6_3752_4080,1618000,3752,54,"POTOMAC RIVER AT SHEPHERDSTOWN, WV",,yes,yes
PU6_4020_3870,1610000,4020,24,"POTOMAC RIVER AT PAW PAW, WV",,yes,yes
RL0_6540_0001,1669000,6540,51,"PISCATAWAY CREEK NEAR TAPPAHANNOCK, VA",,yes,yes
RL1_6180_0001,1668500,6180,51,"CAT POINT CREEK NEAR MONTROSS, VA",,yes,yes
RU2_5940_6200,1666500,5940,51,"ROBINSON RIVER NEAR LOCUST DALE, VA",,yes,yes
RU2_6090_6220,1665500,6090,51,"RAPIDAN RIVER NEAR RUCKERSVILLE, VA",,yes,yes
