landseg,afo,alf,bar,ext,for,hom,hvf,hwm,hyo,hyw,imh,iml,lwm,pas,puh,pul,trp,urs,css,nal,nhi,nho,nhy,nlo,npa
B51009,0,0.5625,9.7159,1.0131,0.1103,2.1446,2.8466,6.6331,0.4091,0.9788,0,0,6.2676,0.1144,4.7386,4.7416,6.1741,19.4523,0,0.45,5.3065,1.7157,0.783,5.014,0.0915
B51015,0,0.5625,9.7159,1.0131,0.1185,2.0344,2.8466,6.7289,0.4091,1.4768,0,0,6.3541,0.1348,4.338,4.3511,7.2492,19.4523,0,0.45,5.3831,1.6275,1.1814,5.0832,0.1079
B51017,0,0.5625,9.7159,1.0131,0.1003,2.0774,2.8466,6.41,0.4091,1.0013,0,0,6.0475,0.1052,3.155,3.1498,5.6865,19.4523,0,0.45,5.128,1.6619,0.8011,4.838,0.0842
B51019,0,0.5625,9.7159,1.0131,0.1091,2.0492,2.8466,10.7781,0.4091,0.9277,0,0,10.1165,0.1218,2.431,2.4291,6.5626,19.4523,0,0.45,8.6225,1.6394,0.7421,8.0932,0.0974
B51023,0,0.5625,9.7159,1.0131,0.1094,2.1084,2.8466,6.7217,0.4091,0.9689,0,0,6.3454,0.117,3.2304,3.208,6.3118,19.4523,0,0.45,5.3774,1.6867,0.7751,5.0763,0.0936
B51061,0,0.5625,9.7159,1.0131,0.1222,1.6674,2.8466,6.6587,0.4091,0.9018,0,0,6.274,0.123,3.2269,3.2301,6.6307,19.4523,0,0.45,5.327,1.334,0.7214,5.0192,0.0984
B51079,0,0.5625,9.7159,1.0131,0.1273,2.1468,2.8466,12.4789,0.4091,1.1855,0,0,11.6755,0.1313,4.5043,4.5019,7.0607,19.4523,0,0.45,9.9831,1.7175,0.9484,9.3404,0.105
B51091,0,0.5625,9.7159,1.0131,0.1074,2.1599,2.8466,7.137,0.4091,1.1203,0,0,6.7422,0.1015,3.3846,3.3879,5.4864,19.4523,0,0.45,5.7096,1.728,0.8962,5.3938,0.0812
B51113,0,0.5625,9.7159,1.0131,0.1261,2.1614,2.8466,9.3146,0.4091,0.9209,0,0,8.7293,0.1361,4.127,4.1144,7.3156,19.4523,0,0.45,7.4517,1.7291,0.7367,6.9835,0.1089
B51125,0,0.5625,9.7159,1.0131,0.1168,2.1671,2.8466,6.5907,0.4091,0.9482,0,0,6.2204,0.1137,4.8278,4.8373,6.1361,19.4523,0,0.45,5.2725,1.7337,0.7585,4.9763,0.0909
B51139,0,0.5625,9.7159,1.0131,0.1336,2.1123,2.8466,9.2792,0.4091,2.0205,0,0,8.7349,0.1788,2.9172,2.9179,9.5736,19.4523,0,0.45,7.4233,1.6898,1.6164,6.9879,0.1431
B51157,0,0.5625,9.7159,1.0131,0.1258,2.1981,2.8466,6.6444,0.4091,0.9288,0,0,6.273,0.1137,3.977,3.9793,6.1408,19.4523,0,0.45,5.3155,1.7585,0.7431,5.0184,0.0909
B51163,0,0.5625,9.7159,1.0131,0.1092,2.1476,2.8466,6.3091,0.4091,1.0163,0,0,5.954,0.1167,2.6198,2.6117,6.2929,19.4523,0,0.45,5.0473,1.7181,0.8131,4.7632,0.0933
B51165,0,0.5625,9.7159,1.0131,0.121,2.1578,2.8466,9.2776,0.4091,2.1302,0,0,8.7232,0.1904,2.6384,2.641,10.1817,19.4523,0,0.45,7.4221,1.7262,1.7042,6.9786,0.1523
B51171,0,0.5625,9.7159,1.0131,0.1236,2.2036,2.8466,6.3656,0.4091,1.4931,0,0,6.0054,0.142,3.6106,3.6076,7.6257,19.4523,0,0.45,5.0925,1.7629,1.1945,4.8044,0.1136
B51187,0,0.5625,9.7159,1.0131,0.1201,2.1648,2.8466,6.1386,0.4091,0.9301,0,0,5.7924,0.1143,2.6588,2.6597,6.1716,19.4523,0,0.45,4.9109,1.7319,0.7441,4.6339,0.0914
B54023,0,0.5625,9.7159,1.0131,0.1175,2.2626,2.8466,7.4056,0.4091,0.945,0,0,6.995,0.1239,2.0189,2.0009,6.6673,19.4523,0,0.45,5.9244,1.8101,0.756,5.596,0.0991
B54031,0,0.5625,9.7159,1.0131,0.1188,2.2205,2.8466,7.3314,0.4091,1.2678,0,0,6.914,0.1588,2.0885,2.0743,8.5026,19.4523,0,0.45,5.8651,1.7764,1.0143,5.5312,0.1271
B54057,0,0.5625,9.7159,1.0131,0.1098,2.2296,2.8466,7.0784,0.4091,0.7696,0,0,6.6911,0.1066,1.7377,1.7328,5.7572,19.4523,0,0.45,5.6627,1.7836,0.6157,5.3529,0.0852
B54071,0,0.5625,9.7159,1.0131,0.1156,2.2645,2.8466,7.4661,0.4091,1.0944,0,0,7.0445,0.1363,3.009,3.0104,7.3104,19.4523,0,0.45,5.9729,1.8116,0.8756,5.6356,0.109
C42009,0,0.5625,9.7159,1.0131,0.1243,2.197,2.8466,6.8477,0.4091,0.6355,0,0,6.4696,0.1745,3.1887,3.193,9.3845,19.4523,0,0.45,5.4782,1.7576,0.5084,5.1757,0.1396
C51015,0,0.5625,9.7159,1.0131,0.1099,2.0197,2.8466,6.6845,0.4091,1.4682,0,0,6.3116,0.1341,3.5653,3.564,7.2055,19.4523,0,0.45,5.3476,1.6158,1.1746,5.0493,0.1072
C51165,0,0.5625,9.7159,1.0131,0.1314,2.1772,2.8466,9.3483,0.4091,2.1429,0,0,8.7904,0.1915,3.2109,3.2072,10.2429,19.4523,0,0.45,7.4787,1.7418,1.7143,7.0323,0.1532
end,,,,,,,,,,,,,,,,,,,,,,,,,
