landseg,alf,hom,hwm,hyw,lwm,nal,nhi,nho,nhy,nlo,npa,pas,trp,bar,ext,for,hvf,hyo,puh,pul,urs,afo,imh,iml,wat,css
A54031,166.088,113.193,127.202,137.426,127.202,166.088,127.202,113.193,137.426,127.202,0,66.059,135.314,0,0,0,0,73.398,226.471,226.471,105.412,0,0,0,0,0
A54037,171.332,187.815,113.16,118.757,113.16,171.332,113.16,187.815,118.757,113.16,0,35.971,129.5,0,0,0,0,91.904,199.543,199.543,105.412,0,0,0,0,0
A54057,118.994,103.526,88.849,99.35,88.849,118.994,88.849,103.526,99.35,88.849,0,22.070,129.467,0,0,0,0,58.523,210.504,210.504,105.412,0,0,0,0,0
A54063,137.459,112.683,105.285,113.344,105.285,0,0,0,0,0,0,27.012,143.077,0,0,0,0,70.359,223.277,223.277,105.412,0,0,0,0,0
A54065,111.712,181.848,69.92,102.683,69.92,111.712,69.92,181.848,102.683,69.92,0,23.369,120.515,0,0,0,0,81.306,214.015,214.015,105.412,0,0,0,0,0
A54071,145.734,109.867,119.772,121.542,119.772,145.734,119.772,109.867,121.542,119.772,0,45.004,139.515,0,0,0,0,75.874,226.086,226.086,105.412,0,0,0,0,0
A54077,131.059,102.536,111.951,120.062,113.554,0,0,0,0,0,0,33.328,129.436,0,0,0,0,69.496,218.725,218.725,105.412,0,0,0,0,0
A54093,113.515,129.066,104.135,101.779,104.305,0,0,0,0,0,0,23.065,138.015,0,0,0,0,59.037,214.717,214.717,0,0,0,0,0,0
B24001,134.819,129.366,91.456,110.349,91.456,124.539,100.446,123.017,114.722,100.446,120.591,36.061,108.024,0,0,0,0,84.411,188.424,188.424,105.412,0,0,0,0,0
B24021,184.913,139.014,103.451,142.193,103.451,171.389,104.18,136.098,142.727,104.18,123.982,146.825,120.29,0,0,0,0,95.744,219.201,219.201,105.412,0,0,0,0,0
B42001,160.913,190.938,85.061,132.585,85.061,160.913,85.061,190.938,132.585,85.061,0,96.582,125.144,0,0,0,0,95.063,220.831,220.831,105.412,0,0,0,0,0
B42009,160.176,159.158,106.25,116.526,106.25,160.176,106.25,159.158,116.526,106.25,0,84.934,122.361,0,0,0,0,93.24,222.168,222.168,105.412,0,0,0,0,0
B42015,138.238,116.23,105.248,118.901,105.248,138.238,105.248,116.23,118.901,105.248,0,89.657,122.173,0,0,0,0,81.139,225.769,225.769,105.412,0,0,0,0,0
B42027,162.255,85.511,104.156,120.921,104.156,162.255,104.156,85.511,120.921,104.156,0,101.551,117.438,0,0,0,0,94.607,217.865,217.865,105.412,0,0,0,0,0
B42035,162.553,98.519,108.481,120.949,108.481,162.553,108.481,98.519,120.949,108.481,0,151.658,115.649,0,0,0,0,89.309,220.696,220.696,105.412,0,0,0,0,0
B42041,168.104,135.946,93.212,120.431,93.212,168.104,93.212,135.946,120.431,93.212,0,167.133,114.058,0,0,0,0,93.727,222.439,222.439,105.11,0,0,0,0,0
B42043,165.933,125.981,87.709,134.649,87.709,165.933,87.709,125.981,134.65,87.709,0,155.857,115.038,0,0,0,0,101.784,215.713,215.713,105.412,0,0,0,0,0
B42055,168.106,177.048,100.364,133.932,100.364,168.106,100.364,177.048,133.932,100.364,0,212.191,117.481,0,0,0,0,97.027,222.054,222.054,105.412,0,0,0,0,0
B42079,136.811,114.281,84.142,109.002,84.142,136.811,84.142,114.281,109.002,84.142,0,74.145,117.817,0,0,0,0,96.336,200.857,200.857,103.095,0,0,0,0,0
B42081,148.558,124.639,92.139,112.412,92.139,148.558,92.139,124.639,112.412,92.139,0,87.834,122.337,0,0,0,0,98.048,219.858,219.858,105.412,0,0,0,0,0
B42119,167.457,108.706,103.025,120.405,103.025,167.457,103.025,108.706,120.405,103.025,0,210.888,118.383,0,0,0,0,100.637,225.972,225.972,105.412,0,0,0,0,0
B42131,140.822,124.088,104.425,118.066,104.425,140.822,104.425,124.088,118.066,104.425,0,64.277,125.609,0,0,0,0,85.189,218.839,218.839,105.412,0,0,0,0,0
B51003,132.317,182.338,92.201,115.55,92.201,0,96.099,181.24,116.631,96.099,126.622,31.137,127.214,0,0,0,0,56.806,200.019,200.019,105.412,0,0,0,0,0
B51009,114.778,155.142,109.309,116.765,109.309,0,120.751,161.44,122.626,120.751,129.698,27.956,127.018,0,0,0,0,76.314,192.07,192.07,105.412,0,0,0,0,0
B51015,156.246,115.644,108.781,134.607,108.781,0,115.455,112.233,139.225,115.455,141.771,45.515,139.517,0,0,0,0,69.306,219.541,219.541,105.412,0,0,0,0,0
B51017,122.984,115.326,111.87,108.573,111.87,0,121.28,113.29,106.95,121.28,129.761,19.591,127.012,0,0,0,0,58.272,224.931,224.931,105.412,0,0,0,0,0
B51019,121.825,146.848,87.731,117.647,87.731,0,100.037,150.327,124.531,100.037,125.979,34.216,124.333,0,0,0,0,72.223,189.85,189.85,105.412,0,0,0,0,0
B51023,150.606,163.286,100.116,108.504,100.116,0,101.04,155.265,111.854,101.04,133.049,30.330,130.827,0,0,0,0,63.834,208.489,208.489,105.412,0,0,0,0,0
