landseg,afo,alf,bar,ext,for,hom,hvf,hwm,hyo,hyw,imh,iml,lwm,pas,puh,pul,trp,urs,css,nal,nhi,nho,nhy,nlo,npa
B42027,3.4537,0.0334,0.3231,0.1722,0.0031,0.1138,0.0321,0.0742,0.0189,0.0236,0.0991,0.0991,0.0756,0.0462,0.0241,0.0239,0.5611,4.1962,0.0991,0.0301,0.2908,0.155,0.0028,0.1024,0.0289
B42035,3.9257,0.0334,0.3231,0.1722,0.0031,0.1152,0.0321,0.0761,0.0189,0.0255,0.0943,0.0943,0.0776,0.0617,0.025,0.025,0.7487,4.1962,0.0943,0.0301,0.2908,0.155,0.0028,0.1037,0.0289
B42041,4.9094,0.0334,0.3231,0.1722,0.0031,0.1209,0.0321,0.0828,0.0189,0.0265,0.0951,0.0951,0.0844,0.0651,0.015,0.015,0.7907,4.1962,0.0951,0.0301,0.2908,0.155,0.0028,0.1089,0.0289
B42043,10.1112,0.0334,0.3231,0.1722,0.0031,0.1185,0.0321,0.0852,0.0189,0.0275,0.0916,0.0916,0.0868,0.0635,0.0279,0.0278,0.7712,4.1962,0.0916,0.0301,0.2908,0.155,0.0028,0.1066,0.0289
B42055,10.8607,0.0334,0.3231,0.1722,0.0031,0.1212,0.0321,0.0846,0.0189,0.026,0.0895,0.0895,0.0863,0.0794,0.0211,0.021,0.964,4.1962,0.0895,0.0301,0.2908,0.155,0.0028,0.109,0.0289
B42079,1.7475,0.0334,0.3231,0.1722,0.0031,0.1223,0.0321,0.0742,0.0189,0.0298,0.1033,0.1033,0.0757,0.0381,0.0409,0.0407,0.4631,4.1962,0.1033,0.0301,0.2908,0.155,0.0028,0.1101,0.0289
B42081,3.1013,0.0334,0.3231,0.1722,0.0031,0.1212,0.0321,0.0738,0.0189,0.0275,0.089,0.089,0.0753,0.0429,0.0223,0.0221,0.5205,4.1962,0.089,0.0301,0.2908,0.155,0.0028,0.1091,0.0289
B42119,10.0578,0.0334,0.3231,0.1722,0.0031,0.1195,0.0321,0.0801,0.0189,0.0858,0.0901,0.0901,0.0816,0.0821,0.0258,0.0256,0.9972,4.1962,0.0901,0.0301,0.2908,0.155,0.0028,0.1076,0.0289
B42131,2.5352,0.0334,0.3231,0.1722,0.0031,0.1207,0.0321,0.0723,0.0189,0.0246,0.1016,0.1016,0.0737,0.0346,0.0379,0.0374,0.4205,4.1962,0.1016,0.0301,0.2908,0.155,0.0028,0.1086,0.0289
B51003,1.647,0.0334,0.3231,0.1722,0.0031,0.1203,0.0321,0.106,0.0189,0.0389,0.1026,0.1026,0.108,0.0256,0.0227,0.023,0.3108,4.1962,0.1026,0.0301,0.2908,0.155,0.0028,0.1083,0.0289
B51009,0.4195,0.0334,0.3231,0.1722,0.0031,0.1189,0.0321,0.0802,0.0189,0.0406,0.1003,0.1003,0.0818,0.0251,0.0336,0.0335,0.3046,4.1962,0.1003,0.0301,0.2908,0.155,0.0028,0.107,0.0289
B51015,13.9735,0.0334,0.3231,0.1722,0.0031,0.1141,0.0321,0.0844,0.0189,0.16,0.0961,0.0961,0.086,0.0322,0.0301,0.0302,0.391,4.1962,0.0961,0.0301,0.2908,0.155,0.0028,0.1027,0.0289
B51017,1.0512,0.0334,0.3231,0.1722,0.0031,0.1181,0.0321,0.0859,0.0189,0.0449,0.0897,0.0897,0.0876,0.0224,0.0272,0.027,0.2721,4.1962,0.0897,0.0301,0.2908,0.155,0.0028,0.1063,0.0289
B51019,1.3167,0.0334,0.3231,0.1722,0.0031,0.1158,0.0321,0.2022,0.0189,0.038,0.0893,0.0893,0.2058,0.0277,0.0173,0.0172,0.3362,4.1962,0.0893,0.0301,0.2908,0.155,0.0028,0.1042,0.0289
B51023,1.7435,0.0334,0.3231,0.1722,0.0031,0.1184,0.0321,0.0859,0.0189,0.0421,0.0974,0.0974,0.0876,0.0258,0.0245,0.024,0.3137,4.1962,0.0974,0.0301,0.2908,0.155,0.0028,0.1065,0.0289
B51061,4.0258,0.0334,0.3231,0.1722,0.0031,0.1193,0.0321,0.0971,0.0189,0.0346,0.0941,0.0941,0.099,0.0277,0.0195,0.0195,0.3363,4.1962,0.0941,0.0301,0.2908,0.155,0.0028,0.1074,0.0289
B51079,2.5046,0.0334,0.3231,0.1722,0.0031,0.1195,0.0321,0.3331,0.0189,0.0555,0.103,0.103,0.3389,0.031,0.0315,0.0313,0.3769,4.1962,0.103,0.0301,0.2908,0.155,0.0028,0.1075,0.0289
B51091,4.6769,0.0334,0.3231,0.1722,0.0031,0.1199,0.0321,0.1017,0.0189,0.0555,0.0912,0.0912,0.1025,0.0213,0.0239,0.0238,0.2585,4.1962,0.0912,0.0301,0.2908,0.155,0.0028,0.1079,0.0289
B51113,2.985,0.0334,0.3231,0.1722,0.0031,0.1197,0.0321,0.2123,0.0189,0.029,0.0981,0.098,0.2161,0.0329,0.0269,0.0266,0.3999,4.1962,0.0981,0.0301,0.2908,0.155,0.0028,0.1078,0.0289
B51125,0.4077,0.0334,0.3231,0.1722,0.0031,0.1202,0.0321,0.0856,0.0189,0.0384,0.0994,0.0994,0.0873,0.0247,0.0331,0.0331,0.2997,4.1962,0.0994,0.0301,0.2908,0.155,0.0028,0.1082,0.0289
B51139,29.9032,0.0334,0.3231,0.1722,0.0031,0.1167,0.0321,0.1382,0.0189,0.4294,0.0887,0.0887,0.1407,0.0474,0.0188,0.0188,0.576,4.1962,0.0887,0.0301,0.2908,0.155,0.0028,0.105,0.0289
B51157,0.7982,0.0334,0.3231,0.1722,0.0031,0.1209,0.0321,0.0846,0.0189,0.0353,0.0941,0.0941,0.0862,0.0244,0.0267,0.0266,0.2961,4.1962,0.0941,0.0301,0.2908,0.155,0.0028,0.1088,0.0289
B51163,2.1734,0.0334,0.3231,0.1722,0.0031,0.1196,0.0321,0.0832,0.0189,0.0393,0.0921,0.0921,0.0848,0.0258,0.0183,0.0181,0.3136,4.1962,0.0921,0.0301,0.2908,0.155,0.0028,0.1076,0.0289
B51165,34.9435,0.0334,0.3231,0.1722,0.0031,0.1205,0.0321,0.1518,0.0189,0.4945,0.0746,0.0746,0.1546,0.052,0.0205,0.0205,0.6311,4.1962,0.0746,0.0301,0.2908,0.155,0.0028,0.1085,0.0289
B51171,13.3506,0.0334,0.3231,0.1722,0.0031,0.121,0.0321,0.0856,0.0189,0.1958,0.0841,0.0841,0.0872,0.0345,0.0262,0.026,0.4193,4.1962,0.0841,0.0301,0.2908,0.155,0.0028,0.1089,0.0289
B51187,1.4891,0.0334,0.3231,0.1722,0.0031,0.1205,0.0321,0.0819,0.0189,0.0413,0.0884,0.0884,0.0835,0.0248,0.0197,0.0197,0.3014,4.1962,0.0884,0.0301,0.2908,0.155,0.0028,0.1085,0.0289
B54023,13.6228,0.0334,0.3231,0.1722,0.0031,0.1225,0.0321,0.0902,0.0189,0.1116,0.0776,0.0776,0.0919,0.0289,0.0143,0.0139,0.3504,4.1962,0.0776,0.0301,0.2908,0.155,0.0028,0.1103,0.0289
B54031,32.0018,0.0334,0.3231,0.1722,0.0031,0.1217,0.0321,0.0988,0.0189,0.2741,0.0751,0.0751,0.1007,0.0421,0.016,0.0157,0.5115,4.1962,0.0751,0.0301,0.2908,0.155,0.0028,0.1095,0.0289
B54057,3.2521,0.0334,0.3231,0.1722,0.0031,0.1196,0.0321,0.0828,0.0189,0.0435,0.0784,0.0784,0.0844,0.0228,0.0122,0.0121,0.2764,4.1962,0.0784,0.0301,0.2908,0.155,0.0028,0.1077,0.0289
B54071,20.8968,0.0334,0.3231,0.1722,0.0031,0.1242,0.0321,0.0972,0.0189,0.1902,0.084,0.084,0.099,0.0342,0.0208,0.0208,0.4156,4.1962,0.084,0.0301,0.2908,0.155,0.0028,0.1118,0.0289
C42009,3.7522,0.0334,0.3231,0.1722,0.0031,0.1213,0.0321,0.0831,0.0189,0.0254,0.0853,0.0853,0.0847,0.0411,0.0254,0.0253,0.4995,4.1962,0.0853,0.0301,0.2908,0.155,0.0028,0.1092,0.0289
C51015,13.9735,0.0334,0.3231,0.1722,0.0031,0.1141,0.0321,0.0844,0.0189,0.16,0.0874,0.0874,0.086,0.0322,0.0297,0.0296,0.391,4.1962,0.0874,0.0301,0.2908,0.155,0.0028,0.1027,0.0289
C51165,34.9435,0.0334,0.3231,0.1722,0.0031,0.1205,0.0321,0.1518,0.0189,0.4945,0.0943,0.0943,0.1546,0.052,0.0219,0.0218,0.6311,4.1962,0.0943,0.0301,0.2908,0.155,0.0028,0.1085,0.0289
end,,,,,,,,,,,,,,,,,,,,,,,,,
