 ,alf,hom,hwm,hyw,lwm,nal,nhi,nho,nhy,nlo,npa,pas,trp,bar,ext,for,hvf,hyo,puh,pul,urs,afo,imh,iml,wat,css
A42013,26.88,31.587,17.678,16.788,17.678,26.88,17.678,31.587,16.788,17.678,0,46.770,18.462,0,0,0,0,18.27,30.506,30.506,15.812,0,0,0,0,0
A42015,20.736,23.729,15.722,17.816,15.722,20.736,15.722,23.729,17.816,15.722,0,18.566,18.326,0,0,0,0,17.963,33.865,33.865,15.812,0,0,0,0,0
A42021,21.438,19.718,11.101,17.792,11.101,21.438,11.101,19.718,17.792,11.111,0,16.715,17.01,0,0,0,0,17.179,27.771,27.771,15.812,0,0,0,0,0
A42023,19.526,18.924,17.518,15.672,16.044,20.186,17.518,18.431,15.672,16.044,0,48.550,21.983,0,0,0,0,20.634,33.767,33.767,15.812,0,0,0,0,0
A42025,24.09,24.036,10.278,17.619,0,24.225,10.278,23.496,17.619,0,0,17.169,19.337,0,0,0,0,16.203,29.469,29.469,15.812,0,0,0,0,0
A42027,24.338,16.678,14.77,18.077,14.77,24.338,14.77,16.678,18.077,14.77,0,21.235,17.616,0,0,0,0,16.936,32.68,32.68,15.812,0,0,0,0,0
A42029,28.291,20.539,17.38,20.833,17.38,28.291,17.38,20.539,20.833,17.38,0,31.880,18.529,0,0,0,0,20.314,30.22,30.22,15.812,0,0,0,0,0
A42033,18.929,21.424,12.222,15.548,12.222,18.929,12.222,21.158,15.548,12.222,0,14.206,17.287,0,0,0,0,17.417,30.716,30.716,15.812,0,0,0,0,0
A42035,24.383,18.942,15.515,18.089,15.515,24.383,15.515,18.942,18.089,15.515,0,32.690,17.347,0,0,0,0,16.692,33.104,33.104,15.812,0,0,0,0,0
A42037,23.147,18.427,12.124,17.629,12.124,23.147,12.124,18.427,17.629,12.124,0,18.978,17.776,0,0,0,0,16.265,33.519,33.519,15.812,0,0,0,0,0
A42041,25.216,27.605,13.466,18.011,13.466,25.216,13.466,27.605,18.011,13.466,0,35.255,17.109,0,0,0,0,17.082,33.366,33.366,15.766,0,0,0,0,0
A42043,24.89,24.148,12.124,20.142,12.124,24.89,12.124,24.148,20.142,12.124,0,34.067,17.256,0,0,0,0,16.386,32.357,32.357,15.812,0,0,0,0,0
A42047,20.524,23.883,11.741,17.637,11.741,20.524,11.741,23.883,17.637,11.818,0,11.923,16.932,0,0,0,0,16.226,31.65,31.65,15.812,0,0,0,0,0
A42055,25.216,28.131,14.707,20.023,14.707,25.216,14.707,28.131,20.023,14.707,0,45.835,17.622,0,0,0,0,16.85,33.308,33.308,15.812,0,0,0,0,0
A42057,22.998,17.318,12.06,18.915,12.06,22.998,12.06,17.318,18.915,12.06,0,15.673,17.55,0,0,0,0,17.442,33.957,33.957,15.812,0,0,0,0,0
A42061,24.301,21.419,15.286,16.415,15.286,24.301,15.286,21.419,16.415,15.286,0,19.531,17.996,0,0,0,0,16.583,32.911,32.911,15.812,0,0,0,0,0
A42063,21.836,19.382,12.611,18.458,12.611,21.52,11.997,17.971,17.598,11.997,0,16.187,18.085,0,0,0,0,17.094,32.67,32.67,15.812,0,0,0,0,0
A42065,19.566,24.267,12.452,16.643,12.452,19.019,12.846,21.122,15.88,12.846,0,13.109,17.193,0,0,0,0,16.626,32.085,32.085,15.812,0,0,0,0,0
A42067,23.946,25.918,12.397,19.891,12.397,23.946,12.397,25.918,19.891,12.397,0,34.772,17.849,0,0,0,0,16.275,33.889,33.889,15.812,0,0,0,0,0
A42069,19.837,24.487,15.004,18.123,15.004,19.837,15.004,24.487,18.123,15.004,0,14.772,17.364,0,0,0,0,17.444,29.663,29.663,15.812,0,0,0,0,0
A42071,30.595,15.918,18.684,20.715,18.684,30.595,18.684,15.918,20.715,18.684,0,83.380,18.367,0,0,0,0,17.234,33.223,33.223,15.812,0,0,0,0,0
A42075,27.574,22.412,16.366,20.302,16.366,27.574,16.366,22.412,20.302,16.366,0,64.679,18.374,0,0,0,0,18.611,33.318,33.318,15.812,0,0,0,0,0
A42079,20.522,23.642,12.079,16.324,12.079,20.522,12.079,23.642,16.324,12.079,0,15.255,17.672,0,0,0,0,16.107,30.129,30.129,15.464,0,0,0,0,0
A42081,22.284,24.305,13.046,16.828,13.046,22.284,13.046,24.305,16.828,13.046,0,18.755,18.351,0,0,0,0,16.48,32.979,32.979,15.812,0,0,0,0,0
A42083,18.471,20.063,15.461,17.518,15.176,18.436,15.436,20.061,17.518,14.209,0,8.628,19.204,0,0,0,0,20.586,32.061,32.061,15.812,0,0,0,0,0
A42087,27.944,25.582,16.738,18.986,16.738,27.944,16.738,25.582,18.986,16.738,0,34.584,17.465,0,0,0,0,17.715,32.622,32.622,15.812,0,0,0,0,0
A42093,23.07,18.599,12.274,18.944,12.274,23.07,12.274,18.599,18.944,12.274,0,23.589,17.281,0,0,0,0,16.238,33.006,33.006,15.812,0,0,0,0,0
A42097,25.274,19.652,12.821,20.146,12.821,25.274,12.821,19.652,20.146,12.821,0,26.065,17.161,0,0,0,0,16.167,33.115,33.115,15.812,0,0,0,0,0
A42099,23.471,22.751,11.939,19.103,11.939,23.471,11.939,22.751,19.103,11.939,0,26.555,17.76,0,0,0,0,16.917,33.413,33.413,15.812,0,0,0,0,0
A42105,21.081,22.706,15.92,18.04,15.92,21.081,15.92,22.706,18.04,15.92,0,12.812,19.282,0,0,0,0,17.788,33.366,33.366,15.812,0,0,0,0,0
A42107,25.023,22.839,11.352,18.437,11.352,25.023,11.352,22.839,18.437,11.352,0,26.264,17.303,0,0,0,0,16.345,31.233,31.233,15.812,0,0,0,0,0
A42109,24.09,22.346,11.86,19.333,11.86,24.09,11.86,22.346,19.333,11.86,0,36.970,17.847,0,0,0,0,16.403,33.57,33.57,15.812,0,0,0,0,0
A42111,20.783,23.258,13.764,19.145,13.764,20.52,14.131,22.696,18.855,14.131,0,20.638,18.137,0,0,0,0,16.731,32.17,32.17,15.812,0,0,0,0,0
A42113,20.814,22.539,15.702,17.574,15.702,20.814,15.702,22.539,17.574,15.702,0,16.335,18.565,0,0,0,0,19.292,33.437,33.437,15.812,0,0,0,0,0
A42115,20.113,18.216,17.17,17.965,17.17,20.113,17.17,18.216,17.965,17.17,0,12.231,18.271,0,0,0,0,19.396,33.366,33.366,15.812,0,0,0,0,0
A42117,20.772,20.35,15.008,18.327,15.008,20.772,15.008,20.35,18.327,15.008,0,12.239,19.477,0,0,0,0,19.632,33.437,33.437,15.812,0,0,0,0,0
A42119,25.118,19.76,14.022,18.006,14.022,25.118,14.022,19.76,18.006,14.022,0,47.863,17.757,0,0,0,0,17.033,33.896,33.896,15.812,0,0,0,0,0
A42127,20.181,21.624,17.312,17.98,17.312,20.181,17.312,21.624,17.98,17.312,0,14.004,18.955,0,0,0,0,22.121,21.208,21.208,15.812,0,0,0,0,0
A42131,21.123,24.202,15.619,17.68,15.619,21.123,15.619,24.202,17.68,15.619,0,12.653,18.841,0,0,0,0,17.9,32.826,32.826,15.812,0,0,0,0,0
A42133,25.371,22.257,13.272,19.318,13.272,25.371,13.272,22.257,19.318,13.272,0,24.740,18.658,0,0,0,0,17.164,32.557,32.557,15.812,0,0,0,0,0
A51001,20.382,13.204,12.544,18.09,12.544,0,13.753,13.843,16.943,13.753,20.939,15.527,20.355,0,0,0,0,15.944,32.802,32.802,15.812,0,0,0,0,0
A51003,19.848,27.654,13.117,17.303,13.117,0,13.414,27.619,17.466,13.414,18.993,5.952,19.082,0,0,0,0,20.493,30.003,30.003,15.812,0,0,0,0,0
A51005,19.599,23.195,17.514,15.284,17.514,0,18.066,24.74,15.31,18.066,18.523,2.261,18.483,0,0,0,0,17.933,31.161,31.161,15.812,0,0,0,0,0
A51007,24.831,8.705,13.918,18.271,13.918,0,14.621,8.748,19.146,14.621,18.704,14.836,18.065,0,0,0,0,15.931,33.899,33.899,15.812,0,0,0,0,0
A51009,17.217,23.872,16.38,17.493,16.38,0,17.782,24.012,18.375,17.782,19.455,5.572,19.053,0,0,0,0,20.124,28.81,28.81,15.812,0,0,0,0,0
A51011,18.884,12.732,11.513,16.482,11.513,0,11.595,12.993,17.37,11.595,18.042,7.883,17.729,0,0,0,0,16.816,33.505,33.505,15.812,0,0,0,0,0
A51013,22.821,0,0,21.685,0,0,0,0,0,0,0,0.000,12.847,0,0,0,0,17.838,31.379,31.379,0,0,0,0,0,0
A51015,23.437,19.132,16.119,20.114,16.119,0,16.949,18.181,20.805,16.949,21.266,10.848,20.928,0,0,0,0,20.609,32.931,32.931,15.812,0,0,0,0,0
A51017,18.448,19.185,16.648,16.27,16.648,0,18.018,18.505,16.026,18.018,19.464,3.592,19.052,0,0,0,0,24.944,33.74,33.74,15.812,0,0,0,0,0
A51019,18.274,22.257,13.3,17.617,13.3,0,15.216,23.366,18.649,15.216,18.897,7.502,18.65,0,0,0,0,20.801,28.478,28.478,15.812,0,0,0,0,0
A51023,22.591,25.543,14.98,16.218,14.98,0,15.114,24.672,16.729,15.114,19.957,6.129,19.624,0,0,0,0,18.843,31.273,31.273,15.812,0,0,0,0,0
A51029,19.081,15.897,10.824,18.087,10.824,0,11.83,18.039,18.88,11.83,17.206,11.134,16.866,0,0,0,0,18.367,33.971,33.971,15.812,0,0,0,0,0
A51031,17.608,8.309,11.039,16.051,11.039,0,11.627,9.678,15.94,11.627,18.798,7.009,18.183,0,0,0,0,17.274,28.899,28.899,15.812,0,0,0,0,0
A51033,23.095,20.387,14.329,17.122,14.329,0,15.169,18.174,16.324,15.169,18.369,7.837,18.909,0,0,0,0,16.287,31.983,31.983,15.812,0,0,0,0,0
A51036,19.41,14.81,15.65,16.374,15.65,0,16.491,25.728,16.134,16.491,18.298,15.326,19.406,0,0,0,0,15.879,33.971,33.971,15.812,0,0,0,0,0
A51041,17.005,14.75,11.166,15.183,11.166,0,12.571,14.557,15.148,12.571,18.17,9.315,17.984,0,0,0,0,18.864,23.328,23.328,15.812,0,0,0,0,0
A51043,22.015,27.868,15.198,16.926,15.198,0,16.377,27.232,17.52,16.377,19.406,7.424,19.086,0,0,0,0,18.38,32.432,32.432,15.812,0,0,0,0,0
A51045,17.422,22.218,16.363,17.275,16.363,0,17.71,23.271,18.128,17.71,18.951,4.544,18.702,0,0,0,0,18.243,33.971,33.971,15.812,0,0,0,0,0
A51047,23.299,19.832,14.193,18.667,14.193,0,14.673,18.815,18.73,14.673,19.316,9.662,18.775,0,0,0,0,18.758,33.301,33.301,15.812,0,0,0,0,0
A51049,20.419,13.444,13.394,18.013,13.394,0,13.714,13.455,19.618,13.714,17.862,15.484,17.432,0,0,0,0,17.416,33.165,33.165,15.812,0,0,0,0,0
A51053,23.222,6.404,9.979,15.721,9.979,0,9.93,8.681,15.355,9.93,18.124,17.854,18.118,0,0,0,0,16.28,32.646,32.646,15.812,0,0,0,0,0
A51057,20.669,18.137,14.866,18.928,14.866,0,15.664,17.978,19.817,15.664,20.778,13.179,19.817,0,0,0,0,15.836,32.663,32.663,15.812,0,0,0,0,0
A51059,17.477,22.707,13.808,16.01,13.808,0,14.517,21.402,15.156,14.517,19.362,11.379,18.636,0,0,0,0,15.744,27.261,27.261,15.812,0,0,0,0,0
A51061,22.689,27.051,14.484,18.403,14.484,0,15.799,27.372,18.723,15.799,20.597,7.508,20.183,0,0,0,0,19.947,31.667,31.667,15.812,0,0,0,0,0
A51065,19.127,18.9,11.437,17.637,11.437,0,9.815,19.113,17.782,9.815,18.667,6.578,18.055,0,0,0,0,18.991,24.666,24.666,15.812,0,0,0,0,0
A51069,23.783,29.256,12.417,16.228,12.417,0,13.539,29.162,17.226,13.539,19.207,6.048,19.027,0,0,0,0,18.263,30.961,30.961,15.812,0,0,0,0,0
A51071,17.223,18.773,15.353,17.32,15.353,0,15.595,18.536,18.811,15.595,22.265,3.931,19.48,0,0,0,0,18.633,31.046,31.046,15.812,0,0,0,0,0
A51073,21.948,21.842,13.015,16.194,13.015,0,13.457,23.954,17.008,13.457,18.329,9.613,17.653,0,0,0,0,17.193,30.363,30.363,15.812,0,0,0,0,0
A51075,18.326,20.498,12.901,18.579,12.901,0,13.968,20.615,19.178,13.968,17.936,10.140,18.149,0,0,0,0,17.109,32.265,32.265,15.812,0,0,0,0,0
A51079,18.428,21.846,15.305,18.925,15.305,0,17.789,21.993,20.918,17.789,18.591,9.990,17.82,0,0,0,0,18.353,29.395,29.395,0,0,0,0,0,0
A51085,23.396,16.17,14.026,19.394,14.026,0,15.387,15.997,20.245,15.387,18.247,10.408,18.139,0,0,0,0,18.227,29.317,29.317,15.812,0,0,0,0,0
A51087,23.152,17.37,12.9,16.162,12.9,0,13.712,17.466,16.699,13.712,16.97,7.458,17.333,0,0,0,0,17.25,29.616,29.616,15.812,0,0,0,0,0
A51091,20.575,18.779,22.178,18.174,21.649,0,23.044,19.102,19.129,22.034,20.245,2.761,19.826,0,0,0,0,26.511,33.971,33.971,15.812,0,0,0,0,0
A51093,24.729,11.347,10.675,16.564,10.675,0,10.772,4.204,18.121,10.772,19.109,22.912,18.689,0,0,0,0,15.867,31.936,31.936,15.812,0,0,0,0,0
A51095,20.05,24.284,13.563,17.294,13.563,0,12.752,23.863,16.486,12.752,17.625,10.840,16.953,0,0,0,0,16.987,25.835,25.835,15.812,0,0,0,0,0
A51097,18.241,24.839,13.395,15.502,13.395,0,13.935,39.911,16.148,13.935,19.109,7.584,17.891,0,0,0,0,15.878,33.821,33.821,15.812,0,0,0,0,0
A51099,19.089,26.429,13.706,15.95,13.706,0,14.804,27.51,15.409,14.804,20.522,11.401,20.641,0,0,0,0,17.024,32.191,32.191,15.812,0,0,0,0,0
A51101,23.249,20.341,14.437,17.094,14.437,0,15.094,18.997,17.269,15.094,20.669,11.487,20.158,0,0,0,0,16.329,31.107,31.107,15.812,0,0,0,0,0
A51103,20.366,21.16,14.631,21.402,14.631,0,16.146,23.627,22.496,16.146,18.415,5.949,18.415,0,0,0,0,15.826,30.38,30.38,0,0,0,0,0,0
A51107,21.872,22.958,12.15,18.044,12.15,0,12.975,20.099,17.699,12.975,18.612,7.643,18.249,0,0,0,0,18.405,32.751,32.751,15.812,0,0,0,0,0
A51109,21.263,16.853,12.747,18.642,12.747,0,14.422,16.823,19.12,14.422,18.38,11.583,17.908,0,0,0,0,18.013,31.949,31.949,15.812,0,0,0,0,0
