landseg,afo,alf,bar,ext,for,hom,hvf,hwm,hyo,hyw,imh,iml,lwm,pas,puh,pul,trp,urs,css,nal,nhi,nho,nhy,nlo,npa
A54071,0,0.056,0.972,0.101,0.011,0.226,0.285,0.745,0.041,0.109,0,0,0.703,0.014,0.246,0.246,0.73,1.945,0,0.045,0.596,0.181,0.087,0.562,0.011
A54077,0,0.056,0.972,0.101,0.014,0.239,0.285,0.693,0.041,0.063,0,0,0.663,0.012,0.867,0.867,0.644,1.945,0,0.045,0.554,0.191,0.05,0.531,0.01
A54093,0,0.056,0.972,0.101,0.014,0.23,0.285,0.723,0.041,0.073,0,0,0.703,0.011,0.973,0.973,0.583,1.945,0,0.045,0.578,0.184,0.059,0.562,0.009
B24001,0,0.056,0.972,0.101,0.012,0.218,0.285,0.722,0.041,0.067,0,0,0.682,0.012,0.348,0.348,0.663,1.945,0,0.045,0.578,0.174,0.054,0.545,0.01
B24021,0,0.056,0.972,0.101,0.014,0.218,0.285,0.574,0.041,0.056,0,0,0.542,0.024,0.309,0.309,1.288,1.945,0,0.045,0.46,0.175,0.045,0.434,0.019
B42001,0,0.056,0.972,0.101,0.014,0.225,0.285,0.672,0.041,0.087,0,0,0.634,0.019,0.52,0.521,1.011,1.945,0,0.045,0.537,0.18,0.07,0.507,0.015
B42009,0,0.056,0.972,0.101,0.012,0.22,0.285,0.685,0.041,0.064,0,0,0.647,0.017,0.391,0.391,0.938,1.945,0,0.045,0.548,0.176,0.051,0.518,0.014
B42015,0,0.056,0.972,0.101,0.013,0.231,0.285,0.653,0.041,0.062,0,0,0.618,0.018,0.421,0.42,0.965,1.945,0,0.045,0.522,0.185,0.049,0.494,0.014
B42027,0,0.056,0.972,0.101,0.013,0.318,0.285,0.61,0.041,0.064,0,0,0.576,0.019,0.403,0.402,1.033,1.945,0,0.045,0.488,0.255,0.051,0.461,0.015
B42035,0,0.056,0.972,0.101,0.013,0.212,0.285,0.634,0.041,0.066,0,0,0.6,0.025,0.38,0.38,1.319,1.945,0,0.045,0.507,0.169,0.053,0.48,0.02
B42041,0,0.056,0.972,0.101,0.014,0.22,0.285,0.667,0.041,0.067,0,0,0.63,0.026,0.3,0.3,1.403,1.945,0,0.045,0.533,0.176,0.054,0.504,0.021
