landseg,afo,alf,bar,ext,for,hom,hvf,hwm,hyo,hyw,imh,iml,lwm,pas,puh,pul,trp,urs,css,,
A51043,104.1624264,0.7,7,3.5,0.098206796,2.542821001,0.8,2.177236819,0.4,1.148346282,1.868190669,1.867734545,1.631247488,0.588640546,0.395026778,0.39372961,7.059917457,85,1.868190669
A51045,19.29320114,0.7,7,3.5,0.094843483,2.425055503,0.8,1.926154143,0.4,0.853131025,1.821014201,1.820985492,1.447628627,0.507380717,0.600851738,0.593873244,6.082465354,85,1.821014201
A51047,89.88354834,0.7,7,3.5,0.097662703,2.477619875,0.8,2.649272817,0.4,0.727821411,2.050154614,2.050157166,1.979846108,0.651748037,0.431695761,0.429066417,7.819172578,85,2.050154614
A51049,435.1109194,0.7,7,3.5,0.096974424,2.446319103,0.8,6.168924084,0.4,5.318015105,2.030514528,2.030511333,4.565073044,0.814342534,0.539901576,0.538975335,9.778363906,85,2.030514528
A51053,124.6648089,0.7,7,3.5,0.098477364,2.297294857,0.8,2.362715829,0.4,5.617513867,2.156986156,2.156980036,1.758764958,0.877614519,0.558516404,0.556990628,10.54655972,85,2.156986156
A51057,102.4191846,0.7,7,3.5,0.099863728,2.441691773,0.8,1.878476561,0.4,0.825546031,2.084764087,2.084760854,1.406341473,0.747550526,0.406564276,0.405505628,8.978131389,85,2.084764087
A51059,209.6021531,0.7,7,3.5,0.105665061,2.43959787,0.8,2.510224328,0.4,1.445630167,2.089171515,2.08917121,1.885897701,0.702607422,0.461333426,0.459487992,8.4266233,85,2.089171515
A51061,111.5040386,0.7,7,3.5,0.099272956,2.479106112,0.8,2.311406702,0.4,0.741331969,1.995210961,1.995210649,1.731602361,0.591388549,0.5461137,0.544196514,7.092321258,85,1.995210961
A51065,33.01780844,0.7,7,3.5,0.096707034,2.527877687,0.8,2.601563246,0.4,1.206365735,2.049176247,2.049178784,1.941582532,0.564575046,0.431911842,0.433210628,6.770823554,85,2.049176247
A51069,41.69231531,0.7,7,3.5,0.098342829,2.55155452,0.8,1.946222678,0.4,0.922385414,1.820164074,1.820158013,1.461655752,0.549924937,0.437450911,0.436418181,6.594008181,85,1.820164074
A51071,15.79367508,0.7,7,3.5,0.096261705,2.505372088,0.8,2.124358794,0.4,0.884758059,1.884083207,1.884068608,1.594726671,0.490178548,0.70311274,0.702421565,5.875391472,85,1.884083207
A51073,67.65113186,0.7,7,3.5,0.097985796,2.481233623,0.8,1.878388344,0.4,0.998590937,2.358706326,2.358708836,1.401181957,0.651662058,0.861655807,0.861567418,7.815777602,85,2.358706326
A51075,78.14694448,0.7,7,3.5,0.098112669,2.455293764,0.8,3.429802678,0.4,0.834357082,2.033274265,2.033276828,2.549238873,0.66485158,0.506554027,0.506022717,7.977517482,85,2.033274265
A51079,67.28950837,0.7,7,3.5,0.098049764,2.507071736,0.8,7.348942604,0.4,1.17557676,2.263975057,2.263989121,5.430826719,0.660584876,0.623735201,0.621221245,7.926218976,85,2.263975057
A51085,101.6354914,0.7,7,3.5,0.101037994,2.403957374,0.8,1.955417422,0.4,0.754822272,2.045502169,2.04550478,1.462563257,0.673946352,0.48943311,0.487836153,8.084126299,85,2.045502169
A51087,36.58181904,0.7,7,3.5,0.103630518,2.442689122,0.8,1.984661214,0.4,1.033194075,2.107515484,2.107512206,1.482347041,0.590478677,0.543069604,0.542331002,7.080498635,85,2.107515484
A51091,121.7226347,0.7,7,3.5,0.095161774,2.516748792,0.8,2.429961767,0.4,1.171075007,2.100089282,2.100088939,1.806153412,0.456787252,0.859519551,0.854641964,5.474437368,85,2.100089282
A51093,1244.350624,0.7,7,3.5,0.098845462,2.144892309,0.8,1.949424819,0.4,3.588273274,2.264679017,2.264678661,1.458207495,1.022218978,0.349647237,0.348955521,12.28267903,85,2.264679017
A51095,147.6401253,0.7,7,3.5,0.097681665,2.472855756,0.8,1.918932318,0.4,0.995168065,2.313440992,2.313443504,1.437410178,0.686458356,0.844848215,0.843019487,8.234047093,85,2.313440992
