landseg,afo,alf,bar,ext,for,hom,hvf,hwm,hyo,hyw,imh,iml,lwm,pas,puh,pul,trp,urs,css,nal,nhi,nho,nhy,nlo,npa
A36051,264.7198689,0.165,0.75,0.6563,0.0437,2.9821,0.225,1.0503,0.12,0.2153,4.2839,4.2839,0.8609,0.3094,0.2609,0.2608,14.6988,12.6,4.2839,0.132,0.8403,2.3857,0.1723,0.6887,0.2476
A36053,281.1903243,0.165,0.75,0.6563,0.0468,2.272,0.225,1.0517,0.12,0.1957,5.5063,5.5064,0.8621,0.3055,0.3303,0.3303,14.5129,12.6,5.5063,0.132,0.8414,1.8176,0.1566,0.6897,0.2444
A36065,211.3825165,0.165,0.75,0.6563,0.0424,4.2012,0.225,1.0115,0.12,0.1795,5.2438,5.2438,0.8292,0.289,0.3315,0.3315,13.7279,12.6,5.2438,0.132,0.8092,3.361,0.1436,0.6633,0.2312
A36067,327.8454866,0.165,0.75,0.6563,0.05,2.4152,0.225,0.9773,0.12,0.2028,5.8388,5.8388,0.8011,0.3574,0.3658,0.3657,16.9778,12.6,5.8388,0.132,0.7818,1.9322,0.1622,0.6409,0.2859
A36069,252.6683903,0.165,0.75,0.6563,0.046,3.1303,0.225,0.9713,0.12,0.2674,4.3163,4.3163,0.7962,0.3347,0.2394,0.2393,15.8983,12.6,4.3163,0.132,0.777,2.5043,0.2139,0.637,0.2678
A36077,175.2560051,0.165,0.75,0.6563,0.0412,2.6474,0.225,1.0562,0.12,0.2069,4.4977,4.4977,0.8657,0.27,0.3148,0.3148,12.825,12.6,4.4977,0.132,0.845,2.1179,0.1655,0.6926,0.216
A36095,156.7231358,0.165,0.75,0.6563,0.0404,2.4426,0.225,1.0561,0.12,0.2154,4.5208,4.5208,0.8656,0.2789,0.3121,0.3121,13.2469,12.6,4.5208,0.132,0.8448,1.9541,0.1723,0.6925,0.2231
A36097,130.5935761,0.165,0.75,0.6563,0.0427,2.6675,0.225,1.0328,0.12,0.2477,4.1376,4.1375,0.8465,0.2584,0.2438,0.2437,12.275,12.6,4.1376,0.132,0.8262,2.134,0.1981,0.6772,0.2067
A36101,154.364994,0.165,0.75,0.6563,0.0401,2.3539,0.225,0.98,0.12,0.2116,3.479,3.4789,0.8034,0.2559,0.1864,0.1863,12.1571,12.6,3.479,0.132,0.784,1.8831,0.1693,0.6427,0.2048
A36107,170.816162,0.165,0.75,0.6563,0.0415,2.537,0.225,1.1265,0.12,0.2306,4.1553,4.1553,0.9232,0.2758,0.266,0.2659,13.1017,12.6,4.1553,0.132,0.9012,2.0296,0.1845,0.7386,0.2207
