rseg,lseg,landuse_type,shortName,Acres
EL0_5151_0000,A24019,nhy,ConPlan,55.93668
EL0_5151_0000,A24019,nlo,ConPlan,4014.9048
EL0_5151_0000,A24019,npa,ConPlan,146.20346
EL0_5151_0000,A24019,pas,ConPlan,96.897118
EL2_5270_0001,A24045,alf,ConPlan,25.3379
EL2_5270_0001,A24045,hom,ConPlan,100.95844
EL2_5270_0001,A24045,hwm,ConPlan,1158.6942
EL2_5270_0001,A24045,hyo,ConPlan,1128.8566
EL2_5270_0001,A24045,hyw,ConPlan,68.020302
EL2_5270_0001,A24045,lwm,ConPlan,863.66693
EL2_5270_0001,A24045,nal,ConPlan,38.231827
EL2_5270_0001,A24045,nhi,ConPlan,1748.3019
EL2_5270_0001,A24045,nho,ConPlan,152.33243
EL2_5270_0001,A24045,nhy,ConPlan,102.63292
EL2_5270_0001,A24045,nlo,ConPlan,1303.1493
EL2_5270_0001,A24045,npa,ConPlan,129.7628
EL2_5270_0001,A24045,pas,ConPlan,86.000801
EL2_5270_0001,A24047,alf,ConPlan,6.3600574
EL2_5270_0001,A24047,hom,ConPlan,82.075096
EL2_5270_0001,A24047,hwm,ConPlan,928.79407
EL2_5270_0001,A24047,hyo,ConPlan,179.73895
EL2_5270_0001,A24047,hyw,ConPlan,23.527317
EL2_5270_0001,A24047,lwm,ConPlan,1952.9327
EL2_5270_0001,A24047,nal,ConPlan,9.5963917
EL2_5270_0001,A24047,nhi,ConPlan,1401.4164
EL2_5270_0001,A24047,nho,ConPlan,123.83948
EL2_5270_0001,A24047,nhy,ConPlan,35.499302
EL2_5270_0001,A24047,nlo,ConPlan,2946.6946
EL2_5270_0001,A24047,npa,ConPlan,138.96896
EL2_5270_0001,A24047,pas,ConPlan,92.101852
EL0_5271_0000,A24047,alf,ConPlan,2.8172264
EL0_5271_0000,A24047,hom,ConPlan,36.457474
EL0_5271_0000,A24047,hwm,ConPlan,412.56552
EL0_5271_0000,A24047,hyo,ConPlan,79.623772
EL0_5271_0000,A24047,hyw,ConPlan,10.422856
EL0_5271_0000,A24047,lwm,ConPlan,867.48242
EL0_5271_0000,A24047,nal,ConPlan,4.2512989
EL0_5271_0000,A24047,nhi,ConPlan,622.50122
EL0_5271_0000,A24047,nho,ConPlan,55.008865
EL0_5271_0000,A24047,nhy,ConPlan,15.725842
EL0_5271_0000,A24047,nlo,ConPlan,1308.9061
EL0_5271_0000,A24047,npa,ConPlan,61.562809
EL0_5271_0000,A24047,pas,ConPlan,40.800819
EL0_5280_0000,A24019,alf,ConPlan,0.53710413
EL0_5280_0000,A24019,hom,ConPlan,241.65622
EL0_5280_0000,A24019,hwm,ConPlan,585.89935
EL0_5280_0000,A24019,hyo,ConPlan,40.092098
EL0_5280_0000,A24019,hyw,ConPlan,3.3445382
EL0_5280_0000,A24019,lwm,ConPlan,1642.1683
EL0_5280_0000,A24019,nal,ConPlan,0.8103075
EL0_5280_0000,A24019,nhi,ConPlan,884.03723
EL0_5280_0000,A24019,nho,ConPlan,364.62421
EL0_5280_0000,A24019,nhy,ConPlan,5.0464292
EL0_5280_0000,A24019,nlo,ConPlan,2477.7952
EL0_5280_0000,A24019,npa,ConPlan,13.190143
EL0_5280_0000,A24019,pas,ConPlan,8.7420187
EL0_5281_0000,A24019,alf,ConPlan,0.02154292
EL0_5281_0000,A24019,hom,ConPlan,4.0882587
EL0_5281_0000,A24019,hwm,ConPlan,9.9126806
EL0_5281_0000,A24019,hyo,ConPlan,1.5966502
EL0_5281_0000,A24019,hyw,ConPlan,0.13366403
EL0_5281_0000,A24019,lwm,ConPlan,27.78351
EL0_5281_0000,A24019,nal,ConPlan,3.2314379E-2
EL0_5281_0000,A24019,nhi,ConPlan,14.956661
EL0_5281_0000,A24019,nho,ConPlan,6.1691089
EL0_5281_0000,A24019,nhy,ConPlan,0.20074084
EL0_5281_0000,A24019,nlo,ConPlan,41.921055
EL0_5281_0000,A24019,npa,ConPlan,0.52535343
EL0_5281_0000,A24019,pas,ConPlan,0.34811401
EL0_5283_0000,A24019,alf,ConPlan,0
EL0_5283_0000,A24019,hom,ConPlan,1.0962409
EL0_5283_0000,A24019,hwm,ConPlan,2.658592
EL0_5283_0000,A24019,hyo,ConPlan,0
EL0_5283_0000,A24019,hyw,ConPlan,0
EL0_5283_0000,A24019,lwm,ConPlan,7.4509125
EL0_5283_0000,A24019,nal,ConPlan,0
EL0_5283_0000,A24019,nhi,ConPlan,4.0109
EL0_5283_0000,A24019,nho,ConPlan,1.6543983
EL0_5283_0000,A24019,nhy,ConPlan,0
EL0_5283_0000,A24019,nlo,ConPlan,11.242466
EL0_5283_0000,A24019,npa,ConPlan,0
EL0_5283_0000,A24019,pas,ConPlan,0
EL0_5400_0001,A24045,alf,ConPlan,12.23491
EL0_5400_0001,A24045,hom,ConPlan,53.179676
EL0_5400_0001,A24045,hwm,ConPlan,610.3349
EL0_5400_0001,A24045,hyo,ConPlan,545.07764
EL0_5400_0001,A24045,hyw,ConPlan,32.844139
EL0_5400_0001,A24045,lwm,ConPlan,454.93112
EL0_5400_0001,A24045,nal,ConPlan,18.460323
EL0_5400_0001,A24045,nhi,ConPlan,920.90692
EL0_5400_0001,A24045,nho,ConPlan,80.240028
