riverseg,landseg,afo,alf,bar,ext,for,hom,hvf,hwm,hyo,hyw,imh,iml,lwm,nal,nhi,nho,nhy,nlo,npa,pas,puh,pul,trp,urs,css,wat
JL6_7160_7440,B51019,16.293,59.46,0.52,0,16368.136,28.926,165.335,152.427,168.852,1054.413,34.8,124,68.728,0,0,0,0,0,0,2138.859,32.1,645,112.44,0.055,0,301
JL6_7440_7430,B51019,29.169,107.221,14,0,18484.414,42.539,186.711,224.158,305.943,1901.364,174,450,101.071,0,0,0,0,0,1.981,3854.903,133,2367,201.295,0.099,0,492
OR2_7610_7780,B51019,255.674,946.251,32,53.4,87868.258,296.07,887.558,1560.137,2685.037,16780.061,318,1310,703.454,0,0,0,0,0,0,34038.051,265,7575,1791.476,0.871,0,320
OR2_7650_8070,B51019,124.683,464.502,7.3,17.1,47593.664,107.954,480.744,568.862,1318.047,8237.096,120,484,256.496,0,0,0,0,0,0,16708.803,93.9,2785,879.411,0.425,0,165
OR2_7780_7890,B51019,0.002,0.003,0,0,319.877,0.042,3.231,0.219,0.01,0.062,0,0,0.099,0,0,0,0,0,0,0.125,0,0,0.007,0,0,0
OR2_8070_8120,B51019,43.692,162.127,0.52,8.01,30706.107,45.564,310.163,240.098,460.045,2875.036,23.9,162,108.258,0,0,0,0,0,0,5831.958,20.6,920,306.945,0.149,0,68
OR4_8271_8120,B51019,69.26,253.681,13,0,40952.867,111.924,413.665,589.784,719.832,4498.568,82,464,265.929,0,0,0,0,0,0,9125.266,72.4,2505,480.277,0.236,0,9204
JU5_7420_7160,B51023,0.559,5.842,0.01,0,26925.012,3.62,271.97,3.342,5.663,27.87,0.43,13.1,9.517,0,0.105,0,2.254,0.299,4.249,78.431,0.46,69.6,4.107,0.004,0,2.22
JU5_7500_7420,B51023,0.936,10.326,0.06,0,11272.152,1.023,113.86,0.974,9.623,53.242,0.54,2.95,2.774,0,0,0,0,0,0,146.131,0.57,16,7.644,0.007,0,3.11
OR3_7740_8271,B51023,0.019,0.192,0,0,1821.863,0.184,18.403,0.175,0.178,0.988,0,0.5,0.498,0,0,0,0,0,0,2.711,0,2.83,0.143,0,0,0
PM2_4860_4670,B51061,8.459,79.833,0.78,68,11872.895,67.569,119.928,144.824,224.259,779.518,4.6,58.4,188.489,0,3.483,0,20.196,4.534,143.383,2107.406,4.52,426,112.299,0.087,0,34.7
RU2_5220_5640,B51061,3.104,30.854,0.12,0,10709.94,4.928,108.181,8.82,86.956,308.872,0,6.09,11.479,0,2.511,0.234,0.201,3.268,4.038,865.847,0,52.8,43.116,0.032,0,48.7
NR1_7880_8050,B51071,1.598,8.831,12.4,276,880.951,16.636,8.898,5.334,12.731,56.664,2.78,4.19,28.744,0,0,0,0,0,0,230.82,1.05,13.4,12.148,0.019,0,1.33
NR1_8030_8051,B51071,3.942,29.112,0.76,0,874.313,5.709,8.831,1.83,41.967,186.791,27,48.8,9.865,0,0,0,0,0,0,760.893,19.5,262,40.047,0.047,0,1.78
NR2_8210_8180,B51071,1.706,11.627,0.1,0,694.556,7.142,7.016,2.29,16.761,74.602,0.22,9.11,12.34,0,0,0,0,0,0,303.893,0.23,43.4,15.994,0.02,0,0.44
NR3_8290_8170,B51071,12.273,91.02,0.53,0,4828.616,15.93,48.774,5.107,131.211,584.006,4.92,22.8,27.525,0,0,0,0,0,0,2378.951,4.79,109.3,125.208,0.147,0,2.22
NR6_7820_7960,B51071,17.785,131.582,2,0,9871.734,24.59,99.714,7.884,189.683,844.261,41.4,129,42.488,0,0,0,0,0,0,3439.098,37.2,722,181.005,0.213,0,705
NR6_7960_8050,B51071,4.964,36.834,2.9,0,1533.262,6.329,15.487,2.029,53.098,236.336,38.3,45.8,10.936,0,0,0,0,0,0,962.716,34,238,50.669,0.059,0,203
NR6_8000_0000,B51071,2.742,20.37,0.17,0,3298.708,3.4,33.32,1.09,29.364,130.697,20.7,13.7,5.874,0,0,0,0,0,0,532.393,12.4,69.9,28.021,0.033,0,435
NR6_8050_8051,B51071,7.281,50.458,10.2,0,3061.969,26.514,30.929,8.501,72.738,323.752,153,184,45.813,0,0,0,0,0,0,1318.804,119,918,69.411,0.087,0,345
NR6_8051_8000,B51071,2.115,15.177,0.46,0,2661.07,5.175,26.879,1.659,21.879,97.382,72.3,90.8,8.941,0,0,0,0,0,0,396.685,56.2,433,20.878,0.025,0,445
NR6_8170_7960,B51071,14.67,110.635,0.04,0,3819.379,10.157,38.58,3.257,159.487,709.863,1.34,15.9,17.549,0,0,0,0,0,0,2891.626,1.23,82.6,152.191,0.176,0,35.4
NR6_8180_8051,B51071,3.929,28.58,1.4,0,1129.776,7.783,11.412,2.496,41.199,183.374,24.1,45.2,13.448,0,0,0,0,0,0,746.975,21.2,220,39.314,0.047,0,2.89
JL2_6240_6520,B51079,7.848,32.575,0.08,0,24193.396,14.03,244.378,24.236,123.642,497.201,5.69,30.2,44.434,0,0,0,0,0,6.741,1086.275,5.43,182,48.217,0,0,10.9
RU2_6090_6220,B51079,5.535,23.157,0.1,0,17194.307,7.028,173.68,7.335,90.049,349.863,1.58,11.1,13.448,0,4.805,0,3.596,8.81,38.267,738.756,1.31,74.1,32.126,0,0,10.2
JU1_6300_6650,B51091,33.836,190.607,0.33,0,31284.398,84.514,316.004,0,656.189,1421.617,8.98,42.8,156.612,0,0,0,54.984,0,89.928,10582.794,7.32,439,561.722,0.67,0,32.8
JU1_6340_6650,B51091,9.039,50.551,0.16,0,42770.41,38.534,432.005,0,172.127,382.337,4.72,13.9,70.935,0,0,0,9.271,0.473,15.459,2815.04,2.62,105,148.974,0.179,0,39.1
PU0_6080_5620,B51091,0.992,5.589,0,0,308.991,2.364,3.121,0,19.242,42.002,0,0.69,4.381,0,0,0,1.298,0,12.627,300.34,0,8.21,16.472,0.02,0,0
PU2_6050_5190,B51091,2.448,13.737,0.01,0,6000.571,7.306,60.612,0,47.29,104.252,0.11,3.27,15.464,0,0,1.039,2.163,0,4.91,764.247,0.11,27.5,40.482,0.048,0,0
RU2_5810_5610,B51113,0.891,4.376,0,0,12725.295,3.646,128.538,12.302,19.408,72.817,0,3.23,35.989,0,1.815,0,0.417,5.31,2.428,171.175,0,21.1,7.978,0.004,0,0
RU2_5940_6200,B51113,5.074,25.429,0.51,0,25769.566,12.892,260.296,49.072,114.567,419.109,7.71,21.3,143.562,0,0.851,0,6.403,2.49,33.613,975.079,6.31,131,44.661,0.025,0,7.56
RU2_6090_6220,B51113,9.077,44.534,0.33,0,24231.691,38.387,244.76,135.634,208.669,737.204,7.7,29.8,396.8,0,13.014,0,8.011,38.073,101.235,1665.323,7.05,195,70.129,0.045,0,10.4
JL1_6770_6850,B51125,11.53,38.745,0,0,25857.395,155.942,261.183,15.148,254.099,630.398,24.9,131,28.525,0,0,0,0,0,1.767,1872.276,20,758,98.634,0,0,35.6
JL1_6940_7200,B51125,3.97,12.878,0.31,0,30916.281,104.061,312.284,10.108,84.391,209.536,4.17,27.2,19.035,0,0,0,0,0,1.046,621.862,3.17,156,32.785,0,0,12.7
JL1_7080_7190,B51125,0.053,0.107,0,0,6883.897,8.337,69.534,0.81,0.699,1.74,0,0.42,1.525,0,0,0,0,0,0.004,5.168,0,2.47,0.272,0,0,0
PS4_5840_5240,B51139,3.682,18.395,0.25,0,27921.59,2.549,282.036,36.359,29.733,121.734,6.23,29.6,74.148,0,2.748,0.579,27.079,5.605,34.35,289.728,6,151,16.461,0.027,0,4.13
