TABLE->,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2
VARS->,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,IAMSU,INO3,ISLON,ISRON,AGPLTN,LITTRN
A42055,0.001000,1,0.03,0.3,0,50,154.6685,5,0.5,2,0,550,369.0425,5,1,8,0,300,7.977000,6,0.5,1,0,100,0,0,0,0,na,na
A42057,0.001000,1,0.03,0.3,0,50,1248.562,5,0.5,2,0,550,264.8740,5,1,8,0,300,5.236000,6,0.5,1,0,100,0,0,0,0,na,na
A42061,0.001000,1,0.03,0.3,0,50,1451.905,5,0.5,2,0,550,337.6020,5,1,8,0,300,6.771500,6,0.5,1,0,100,0,0,0,0,na,na
A42063,0.001000,1,0.03,0.3,0,50,1321.772,5,0.5,2,0,550,294.8595,5,1,8,0,300,6.290000,6,0.5,1,0,100,0,0,0,0,na,na
A42065,0.,1,0.03,0.3,0,50,1545.458,5,0.5,2,0,550,298.0070,5,1,8,0,300,6.359500,6,0.5,1,0,100,0,0,0,0,na,na
A42067,0.001000,1,0.03,0.3,0,50,371.2735,5,0.5,2,0,550,260.2780,5,1,8,0,300,6.522500,6,0.5,1,0,100,0,0,0,0,na,na
A42069,0.001000,1,0.03,0.3,0,50,296.2570,5,0.5,2,0,550,396.6490,5,1,8,0,300,10.57200,6,0.5,1,0,100,0,0,0,0,na,na
A42071,0.002000,1,0.03,0.3,0,50,314.6705,5,0.5,2,0,550,378.4120,5,1,8,0,300,8.446501,6,0.5,1,0,100,0,0,0,0,na,na
A42075,0.,1,0.03,0.3,0,50,433.8115,5,0.5,2,0,550,392.7535,5,1,8,0,300,8.370501,6,0.5,1,0,100,0,0,0,0,na,na
A42079,0.002000,1,0.03,0.3,0,50,364.6655,5,0.5,2,0,550,370.7305,5,1,8,0,300,9.077499,6,0.5,1,0,100,0,0,0,0,na,na
