landseg,SORGN,UORGN,LROGN,AORGN
A51163,     0.000,   132.701,    15.301,     1.780
A51165,     0.000,   205.976,    66.255,     5.619
A51171,     0.000,   147.422,    28.789,     3.472
A51177,     0.000,    71.756,     4.854,     0.784
A51179,     0.000,   116.508,     8.268,     0.938
A51181,     0.000,   104.414,     8.516,     1.334
A51187,     0.000,   115.500,    10.632,     1.368
A51193,     0.000,   115.817,    12.489,     0.766
A51199,     0.000,   173.029,     8.703,     1.647
A51510,     0.000,    88.208,    44.621,     1.454
A51530,     0.000,   102.972,    18.787,     2.278
A51540,     0.000,    39.898,    13.542,     0.935
A51550,     0.000,    92.099,    13.178,     0.872
A51570,     0.000,    29.387,    15.847,     1.181
A51580,     0.000,    70.614,    10.757,     1.842
A51600,     0.000,    31.502,     9.404,     1.435
A51610,     0.000,    70.904,    41.479,     1.603
A51630,     0.000,    39.987,    15.708,     1.040
A51650,     0.000,    22.962,    12.833,     1.309
A51660,     0.000,    85.671,    45.273,     3.212
A51670,     0.000,    33.418,    16.722,     1.888
A51678,     0.000,    88.995,    26.444,     2.171
A51680,     0.000,    43.887,    19.394,     1.226
A51683,     0.000,    30.505,     7.438,     1.129
A51685,     0.000,    30.202,     7.945,     0.978
A51700,     0.000,    25.803,    13.692,     1.617
A51710,     0.000,    28.493,    14.450,     1.285
A51730,     0.000,    32.241,    18.350,     1.761
A51735,     0.000,    22.609,    11.586,     3.015
A51740,     0.000,    28.536,    14.249,     1.425
A51760,     0.000,    28.819,    12.225,     1.467
A51790,     0.000,    97.799,    33.174,     2.270
A51800,     0.000,    91.328,     5.323,     0.988
A51810,     0.000,    86.839,    10.804,     1.058
A51820,     0.000,    45.442,    14.719,     2.359
A51830,     0.000,    23.732,    12.158,     1.764
A51840,     0.000,    76.781,    18.924,     1.922
A54003,     0.000,    67.897,    13.341,     1.196
A54023,     0.000,   105.103,     5.826,     1.501
A54027,     0.000,    88.501,     7.339,     1.123
A54031,     0.000,   135.367,    15.640,     2.058
A54037,     0.000,    71.834,    18.577,     1.430
A54057,     0.000,    76.838,     7.539,     1.272
A54063,     0.000,    81.145,     4.909,     1.188
A54065,     0.000,    83.124,     4.047,     1.135
A54071,     0.000,   108.546,    13.686,     1.945
A54077,     0.000,    29.090,     2.222,     0.769
A54093,     0.000,    25.366,     1.439,     1.157
B24001,     0.000,    81.152,     6.208,     1.150
B24021,     0.000,    86.253,    10.597,     0.648
B42001,     0.000,    57.632,     3.004,     0.808
B42009,     0.000,    80.131,     5.765,     0.872
B42015,     0.000,    51.455,     5.212,     0.888
B42027,     0.000,    87.586,    11.109,     0.731
B42035,     0.000,    89.481,     9.764,     0.754
B42041,     0.000,    84.265,    17.284,     1.258
B42043,     0.000,    62.384,     7.573,     0.798
B42055,     0.000,    59.357,     8.308,     0.897
B42079,     0.000,    47.169,     4.676,     1.354
B42081,     0.000,    77.657,     8.419,     1.003
B42119,     0.000,   104.262,     6.148,     1.092
B42131,     0.000,    44.333,     3.889,     1.261
B51003,     0.000,    97.152,    19.150,     0.862
B51009,     0.000,    87.662,    14.261,     1.020
B51015,     0.000,   182.326,    11.906,     2.448
B51017,     0.000,   117.118,     8.981,     2.151
B51019,     0.000,   114.726,    17.189,     0.756
B51023,     0.000,   123.643,     7.157,     1.544
B51061,     0.000,   105.227,    23.316,     1.132
B51079,     0.000,   114.825,    15.283,     1.134
B51091,     0.000,   136.044,    15.373,     2.359
B51113,     0.000,   113.868,    16.227,     0.770
B51125,     0.000,    86.391,    11.755,     0.863
B51139,     0.000,   201.283,    45.672,     5.352
B51157,     0.000,    92.133,    10.008,     0.781
B51163,     0.000,   138.967,    14.726,     1.563
B51165,     0.000,   245.712,    19.203,     3.944
B51171,     0.000,   170.751,     8.683,     2.778
B51187,     0.000,   113.781,     9.526,     1.342
B54023,     0.000,    77.974,    21.887,     1.882
B54031,     0.000,   138.199,    18.928,     2.063
B54057,     0.000,    62.127,    16.317,     1.353
B54071,     0.000,    93.364,    25.287,     2.592
C42009,     0.000,    90.965,     3.971,     0.810
C51015,     0.000,   191.788,     4.576,     2.320
C51165,     0.000,   222.834,    36.992,     5.262
end
