landseg,SORGN,UORGN,LROGN,AORGN
A51119,     0.000,    59.888,    15.055,     2.469
A51121,     0.000,    39.710,    31.302,     5.405
A51125,     0.000,    53.139,    59.431,     3.724
A51127,     0.000,    56.568,    16.261,     2.525
A51131,     0.000,    51.207,    42.940,     4.125
A51133,     0.000,    78.702,    14.672,     2.849
A51135,     0.000,    27.837,    19.151,     1.903
A51137,     0.000,    77.819,    33.190,     2.450
A51139,     0.000,    34.094,    55.598,     6.748
A51145,     0.000,    64.856,    14.667,     1.594
A51147,     0.000,    37.024,    12.662,     1.432
A51149,     0.000,    30.635,    41.210,     4.576
A51153,     0.000,    77.886,    16.837,     1.758
A51157,     0.000,    71.895,    48.285,     3.108
A51159,     0.000,    41.753,    20.034,     2.512
A51161,     0.000,    79.006,    28.936,     3.558
A51163,     0.000,    46.374,    38.453,     4.799
A51165,     0.000,    54.021,    64.377,     6.219
A51171,     0.000,    75.595,    58.441,     5.752
A51177,     0.000,    86.485,    19.139,     1.791
A51179,     0.000,    99.928,    20.028,     1.917
A51181,     0.000,    18.892,    20.619,     4.186
A51187,     0.000,    77.341,    46.418,     4.934
A51193,     0.000,    23.635,    52.337,     4.589
A51199,     0.000,    52.859,    16.420,     2.926
A51510,     0.000,    12.962,    27.927,     1.952
A51530,     0.000,    44.200,    37.733,     5.638
A51540,     0.000,    59.243,    12.888,     2.009
A51550,     0.000,    41.697,    33.619,     2.864
A51570,     0.000,    48.973,    12.076,     1.681
A51580,     0.000,    70.294,    25.436,     4.019
A51600,     0.000,    73.765,    18.671,     2.441
A51610,     0.000,    20.404,    36.825,     2.498
A51630,     0.000,    48.155,    23.845,     2.428
A51650,     0.000,    47.860,    20.347,     2.066
A51660,     0.000,    14.324,    54.246,     6.107
A51670,     0.000,    46.485,    30.972,     3.418
A51678,     0.000,    27.313,    32.205,     4.427
A51680,     0.000,    41.147,    28.839,     2.375
A51683,     0.000,    78.580,    13.773,     2.052
A51685,     0.000,    78.108,    15.097,     1.744
A51700,     0.000,    45.351,    27.451,     2.792
A51710,     0.000,    51.603,    17.467,     1.934
A51730,     0.000,    30.508,    19.081,     2.916
A51735,     0.000,    38.891,    27.717,     4.878
A51740,     0.000,    51.381,    21.223,     2.250
A51760,     0.000,    48.487,    16.770,     2.775
A51790,     0.000,    18.440,    20.785,     4.184
A51800,     0.000,    27.452,     8.344,     2.285
A51810,     0.000,    26.493,    55.101,     5.276
A51820,     0.000,    67.371,    32.530,     4.575
A51830,     0.000,    45.922,    24.447,     2.772
A51840,     0.000,    38.329,    23.758,     4.668
A54003,     0.000,    77.463,    61.587,     5.747
A54023,     0.000,    68.994,    18.335,     3.450
A54027,     0.000,    87.240,    50.913,     5.097
A54031,     0.000,    59.791,    27.261,     4.396
A54037,     0.000,    64.391,    70.504,     6.606
A54057,     0.000,    44.693,    33.120,     4.584
A54063,     0.000,    62.162,    20.348,     4.242
A54065,     0.000,   110.897,    33.692,     4.031
A54071,     0.000,    52.484,    27.053,     4.575
A54077,     0.000,    64.823,    12.996,     2.764
A54093,     0.000,    72.829,    16.489,     3.631
B24001,     0.000,    68.485,    30.029,     4.636
B24021,     0.000,    56.240,    47.119,     4.043
B42001,     0.000,    90.775,    41.775,     2.629
B42009,     0.000,    96.951,    28.767,     3.509
B42015,     0.000,    73.034,    27.919,     4.017
B42027,     0.000,    20.429,   133.918,     6.737
B42035,     0.000,    33.412,    33.139,     3.402
B42041,     0.000,    35.483,    62.006,     5.610
B42043,     0.000,    76.867,    23.044,     2.882
B42055,     0.000,    74.342,    53.996,     4.837
B42079,     0.000,    71.861,    18.143,     4.740
B42081,     0.000,    47.915,    51.145,     5.572
B42119,     0.000,    46.814,    57.108,     5.225
B42131,     0.000,    73.717,    21.302,     5.004
B51003,     0.000,    65.968,    56.131,     3.449
B51009,     0.000,    56.477,    47.377,     3.656
B51015,     0.000,    53.854,    25.842,     4.021
B51017,     0.000,    65.923,    19.351,     4.596
B51019,     0.000,    59.499,    43.039,     2.817
B51023,     0.000,    86.433,    32.913,     4.134
B51061,     0.000,    70.711,    34.694,     2.940
B51079,     0.000,    77.763,    24.576,     2.191
B51091,     0.000,    36.868,    32.268,     5.045
B51113,     0.000,    75.592,    45.156,     2.938
B51125,     0.000,    54.443,    53.651,     3.630
B51139,     0.000,    39.327,    47.501,     6.430
B51157,     0.000,    73.529,    43.778,     2.849
B51163,     0.000,    41.971,    41.277,     4.190
B51165,     0.000,    94.072,    30.208,     4.130
B51171,     0.000,    97.689,    34.589,     4.545
B51187,     0.000,    84.518,    40.234,     4.415
B54023,     0.000,    25.699,    56.037,     5.733
B54031,     0.000,    41.921,    38.707,     5.031
B54057,     0.000,    18.736,    56.703,     5.267
B54071,     0.000,    32.338,    48.295,     6.588
C42009,     0.000,   108.386,    23.294,     2.698
C51015,     0.000,    64.739,    16.509,     3.125
C51165,     0.000,    82.843,    48.102,     5.903
end
