TABLE->,PWAT-PARM1,PWAT-PARM1,PWAT-PARM1,PWAT-PARM1,PWAT-PARM1,PWAT-PARM1,PWAT-PARM1,PWAT-PARM1,PWAT-PARM1,PWAT-PARM2,PWAT-PARM2,PWAT-PARM2,PWAT-PARM2,PWAT-PARM2,PWAT-PARM2,PWAT-PARM2,PWAT-PARM3,PWAT-PARM3,PWAT-PARM3,PWAT-PARM3,PWAT-PARM3,PWAT-PARM3,PWAT-PARM3,PWAT-PARM4,PWAT-PARM4,PWAT-PARM4,PWAT-PARM4,PWAT-PARM4,PWAT-PARM4,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-UZSN,MON-UZSN,MON-UZSN,MON-UZSN,MON-UZSN,MON-UZSN,MON-UZSN,MON-UZSN,MON-UZSN,MON-UZSN,MON-UZSN,MON-UZSN,MON-MANNING,MON-MANNING,MON-MANNING,MON-MANNING,MON-MANNING,MON-MANNING,MON-MANNING,MON-MANNING,MON-MANNING,MON-MANNING,MON-MANNING,MON-MANNING,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,PWAT-STATE1,PWAT-STATE1,PWAT-STATE1,PWAT-STATE1,PWAT-STATE1,PWAT-STATE1,PWAT-STATE1
VARS->,CSNO,RTOP,UZFG,VCS,VUZ,VNN,VIFW,VIRC,VLE,FOREST,LZSN,INFILT,LSUR,SLSUR,KVARY,AGWR,PETMAX,PETMIN,INFEXP,INFILD,DEEPFR,BASETPR,AGWETP,CEPSC,UZSN,NSUR,INTFW,IRC,LZETP,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,CEPS,SURS,UZS,IFWS,LZS,AGWS,GWVS
A24033,1,1,0,1,1,1,0,0,1,0,12.00000,0.030914,327,0.048,0.,0.921402,40,35,2,2,0,0,0.001000,NA,0.7,NA,2.000000,0.300000,NA,0.067,0.065,0.062,0.06,0.064,0.085,0.138,0.15,0.146,0.109,0.087,0.077,1.008000,1.008000,1.008000,1.008000,1.008000,1.176000,1.596000,1.680000,1.680000,1.344000,1.176000,1.092000,0.171192041,0.171192041,0.169904132,0.18756196,0.208114946,0.260945072,0.324878851,0.327433617,0.321258607,0.311896417,0.301739945,0.171192041,0.232,0.221,0.208,0.2,0.218,0.312,0.547,0.6,0.582,0.416,0.322,0.276,NA,NA,0.7,NA,5,1,0
A24035,1,1,0,1,1,1,0,0,1,0,12.00000,0.061174,518,0.008,0.,0.920000,40,35,2,2,0,0,0.001000,NA,0.7,NA,2.000000,0.336429,NA,0.067,0.065,0.062,0.06,0.064,0.085,0.138,0.15,0.146,0.109,0.087,0.077,1.008000,1.008000,1.008000,1.008000,1.008000,1.176000,1.596000,1.680000,1.680000,1.344000,1.176000,1.092000,0.166431577,0.166431577,0.164964618,0.188632286,0.21229039,0.248340003,0.309545358,0.333371895,0.357438549,0.35668308,0.34351756,0.166431577,0.232,0.221,0.208,0.2,0.218,0.312,0.547,0.6,0.582,0.416,0.322,0.276,NA,NA,0.7,NA,5,1,0
A24037,1,1,0,1,1,1,0,0,1,0,12.00000,0.023312,399,0.025,0.,0.920000,40,35,2,2,0,0,0.001000,NA,0.7,NA,2.050731,0.368606,NA,0.067,0.065,0.062,0.06,0.064,0.085,0.138,0.15,0.146,0.109,0.087,0.077,1.008000,1.008000,1.008000,1.008000,1.008000,1.176000,1.596000,1.680000,1.680000,1.344000,1.176000,1.092000,0.167517414,0.167517414,0.166189177,0.168276254,0.181457951,0.283603045,0.36341186,0.30969171,0.222581836,0.189504088,0.186433909,0.167517414,0.232,0.221,0.208,0.2,0.218,0.312,0.547,0.6,0.582,0.416,0.322,0.276,NA,NA,0.7,NA,5,1,0
A24039,1,1,0,1,1,1,0,0,1,0,8.000000,0.038968,596,0.004,0.,0.941834,40,35,2,2,0,0,0.044631,NA,0.7,NA,2.000000,0.467699,NA,0.067,0.065,0.062,0.06,0.064,0.085,0.138,0.15,0.146,0.109,0.087,0.077,0.672000,0.672000,0.672000,0.672000,0.672000,0.784000,1.064000,1.120000,1.120000,0.896000,0.784000,0.728000,0.168061795,0.168061795,0.166954305,0.191137035,0.215136876,0.250573962,0.308246173,0.331538452,0.355071662,0.354307088,0.341397843,0.168061795,0.232,0.221,0.208,0.2,0.218,0.312,0.547,0.6,0.582,0.416,0.322,0.276,NA,NA,0.7,NA,5,1,0
A24041,1,1,0,1,1,1,0,0,1,0,9.767185,0.055283,514,0.009,0.,0.946019,40,35,2,2,0,0,0.023216,NA,0.7,NA,2.000000,0.321404,NA,0.067,0.065,0.062,0.06,0.064,0.085,0.138,0.15,0.146,0.109,0.087,0.077,0.820444,0.820444,0.820444,0.820444,0.820444,0.957184,1.299036,1.367406,1.367406,1.093925,0.957184,0.888814,0.186717049,0.186717049,0.186236495,0.209409156,0.232153613,0.264072715,0.312139993,0.332875749,0.353823528,0.353089633,0.34152478,0.186717049,0.232,0.221,0.208,0.2,0.218,0.312,0.547,0.6,0.582,0.416,0.322,0.276,NA,NA,0.7,NA,5,1,0
A24043,1,1,0,1,1,1,0,0,1,0,12.00000,0.132165,305,0.058,0.,0.974436,40,35,2,2,0,0,0.001000,NA,0.7,NA,1.151714,0.461134,NA,0.067,0.065,0.062,0.06,0.064,0.085,0.138,0.15,0.146,0.109,0.087,0.077,1.008000,1.008000,1.008000,1.008000,1.008000,1.176000,1.596000,1.680000,1.680000,1.344000,1.176000,1.092000,0.187414168,0.187414168,0.187720365,0.212346096,0.236164574,0.267251131,0.308229824,0.3280176,0.347992636,0.347199555,0.336042162,0.187414168,0.232,0.221,0.208,0.2,0.218,0.312,0.547,0.6,0.582,0.416,0.322,0.276,NA,NA,0.7,NA,5,1,0
A24045,1,1,0,1,1,1,0,0,1,0,8.000000,0.038983,564,0.006,0.,0.941183,40,35,2,2,0,0,0.046308,NA,0.7,NA,2.000000,0.468756,NA,0.067,0.065,0.062,0.06,0.064,0.085,0.138,0.15,0.146,0.109,0.087,0.077,0.672000,0.672000,0.672000,0.672000,0.672000,0.784000,1.064000,1.120000,1.120000,0.896000,0.784000,0.728000,0.168314537,0.168314537,0.167158639,0.19121685,0.215116267,0.250557042,0.308600514,0.331922764,0.35548778,0.354728563,0.341810765,0.168314537,0.232,0.221,0.208,0.2,0.218,0.312,0.547,0.6,0.582,0.416,0.322,0.276,NA,NA,0.7,NA,5,1,0
A24047,1,1,0,1,1,1,0,0,1,0,8.000000,0.038968,541,0.007,0.,0.941834,40,35,2,2,0,0,0.044631,NA,0.7,NA,2.000000,0.467699,NA,0.067,0.065,0.062,0.06,0.064,0.085,0.138,0.15,0.146,0.109,0.087,0.077,0.672000,0.672000,0.672000,0.672000,0.672000,0.784000,1.064000,1.120000,1.120000,0.896000,0.784000,0.728000,0.165114916,0.165114916,0.182352142,0.243082166,0.294542614,0.31247679,0.208723057,0.213124211,0.217765198,0.216082524,0.211424277,0.165114916,0.232,0.221,0.208,0.2,0.218,0.312,0.547,0.6,0.582,0.416,0.322,0.276,NA,NA,0.7,NA,5,1,0
A24510,1,1,0,1,1,1,0,0,1,0,12.00000,0.060270,317,0.052,0.,0.956668,40,35,2,2,0,0,0.001000,NA,0.7,NA,2.197956,0.300000,NA,0.067,0.065,0.062,0.06,0.064,0.085,0.138,0.15,0.146,0.109,0.087,0.077,1.008000,1.008000,1.008000,1.008000,1.008000,1.176000,1.596000,1.680000,1.680000,1.344000,1.176000,1.092000,0.167416173,0.167416173,0.166037564,0.189764749,0.213440126,0.249238336,0.309445037,0.333092361,0.356984143,0.356233214,0.169148031,0.167416173,0.232,0.221,0.208,0.2,0.218,0.312,0.547,0.6,0.582,0.416,0.322,0.276,NA,NA,0.7,NA,5,1,0
A36003,1,1,0,1,1,1,0,0,1,0,12.00000,0.019561,289,0.067,0.,0.920000,40,35,2,2,0,0,0.001000,NA,0.7,NA,2.000000,0.453698,NA,0.067,0.065,0.062,0.06,0.064,0.085,0.138,0.15,0.146,0.109,0.087,0.077,1.008000,1.008000,1.008000,1.008000,1.008000,1.176000,1.596000,1.680000,1.680000,1.344000,1.176000,1.092000,0.171910355,0.171910355,0.170354841,0.18377567,0.23635185,0.281561491,0.302396269,0.231210608,0.239094164,0.247220983,0.173709131,0.171910355,0.232,0.221,0.208,0.2,0.218,0.312,0.547,0.6,0.582,0.416,0.322,0.276,NA,NA,0.7,NA,5,1,0
