TABLE->,SLD-PARM1,SLD-PARM1,SLD-PARM1,SLD-PARM2,SLD-PARM2,SLD-PARM2,SLD-PARM2,SLD-STOR
VARS->,VASD,VRSD,SDOP,KEIM,JEIM,ACCSDP,REMSDP,SLDS
A51115,0,0,0,0.066339,2,0.1,0.07675,1
A51117,0,0,0,2.5,2,0.1,0.07675,1
A51119,0,0,0,0.080703,2,0.1,0.07675,1
A51121,0,0,0,1041617.,2,0.1,0.07675,1
A51125,0,0,0,46.45255,2,0.1,0.07675,1
A51127,0,0,0,47.45745,2,0.1,0.07675,1
A51131,0,0,0,59.10518,2,0.1,0.07675,1
A51133,0,0,0,2.093368,2,0.1,0.07675,1
A51135,0,0,0,0.638084,2,0.1,0.07675,1
A51137,0,0,0,5.419847,2,0.1,0.07675,1
A51139,0,0,0,1.438635,2,0.1,0.07675,1
A51141,0,0,0,2.5,2,0.1,0.07675,1
A51143,0,0,0,2.5,2,0.1,0.07675,1
A51145,0,0,0,0.262024,2,0.1,0.07675,1
A51147,0,0,0,1.085878,2,0.1,0.07675,1
A51149,0,0,0,0.812320,2,0.1,0.07675,1
A51153,0,0,0,0.493734,2,0.1,0.07675,1
A51155,0,0,0,2.5,2,0.1,0.07675,1
A51157,0,0,0,0.966625,2,0.1,0.07675,1
A51159,0,0,0,1995.534,2,0.1,0.07675,1
A51161,0,0,0,869.0182,2,0.1,0.07675,1
A51163,0,0,0,0.328E+08,2,0.1,0.07675,1
A51165,0,0,0,2290.162,2,0.1,0.07675,1
A51167,0,0,0,2.5,2,0.1,0.07675,1
A51169,0,0,0,2.5,2,0.1,0.07675,1
A51171,0,0,0,810.7064,2,0.1,0.07675,1
A51173,0,0,0,2.5,2,0.1,0.07675,1
A51175,0,0,0,2.5,2,0.1,0.07675,1
A51177,0,0,0,0.923340,2,0.1,0.07675,1
A51179,0,0,0,3.475287,2,0.1,0.07675,1
A51181,0,0,0,0.252368,2,0.1,0.07675,1
A51183,0,0,0,2.5,2,0.1,0.07675,1
A51185,0,0,0,2.5,2,0.1,0.07675,1
A51187,0,0,0,2.453827,2,0.1,0.07675,1
A51191,0,0,0,2.5,2,0.1,0.07675,1
A51193,0,0,0,17.22792,2,0.1,0.07675,1
A51195,0,0,0,2.5,2,0.1,0.07675,1
A51197,0,0,0,2.5,2,0.1,0.07675,1
A51199,0,0,0,50.90899,2,0.1,0.07675,1
A51510,0,0,0,73.31393,2,0.1,0.07675,1
A51515,0,0,0,2.5,2,0.1,0.07675,1
A51520,0,0,0,2.5,2,0.1,0.07675,1
A51530,0,0,0,50.09267,2,0.1,0.07675,1
A51540,0,0,0,48.23966,2,0.1,0.07675,1
A51550,0,0,0,0.022857,2,0.1,0.07675,1
A51570,0,0,0,0.018771,2,0.1,0.07675,1
A51580,0,0,0,0.016713,2,0.1,0.07675,1
A51590,0,0,0,2.5,2,0.1,0.07675,1
A51595,0,0,0,2.5,2,0.1,0.07675,1
A51600,0,0,0,0.022184,2,0.1,0.07675,1
A51610,0,0,0,0.022673,2,0.1,0.07675,1
A51620,0,0,0,2.5,2,0.1,0.07675,1
A51630,0,0,0,0.014329,2,0.1,0.07675,1
A51640,0,0,0,2.5,2,0.1,0.07675,1
A51650,0,0,0,0.019673,2,0.1,0.07675,1
A51660,0,0,0,0.018720,2,0.1,0.07675,1
A51670,0,0,0,0.019028,2,0.1,0.07675,1
A51678,0,0,0,0.012914,2,0.1,0.07675,1
A51680,0,0,0,0.020219,2,0.1,0.07675,1
A51683,0,0,0,0.020913,2,0.1,0.07675,1
A51685,0,0,0,0.022259,2,0.1,0.07675,1
A51690,0,0,0,2.5,2,0.1,0.07675,1
A51700,0,0,0,0.023405,2,0.1,0.07675,1
A51710,0,0,0,0.019303,2,0.1,0.07675,1
A51720,0,0,0,2.5,2,0.1,0.07675,1
A51730,0,0,0,0.016994,2,0.1,0.07675,1
A51735,0,0,0,0.019791,2,0.1,0.07675,1
A51740,0,0,0,0.018774,2,0.1,0.07675,1
A51750,0,0,0,2.5,2,0.1,0.07675,1
A51760,0,0,0,0.022944,2,0.1,0.07675,1
A51770,0,0,0,2.5,2,0.1,0.07675,1
A51775,0,0,0,2.5,2,0.1,0.07675,1
A51790,0,0,0,0.014407,2,0.1,0.07675,1
A51800,0,0,0,0.064756,2,0.1,0.07675,1
