TABLE->,QUAL-PROPS#2,QUAL-PROPS#2,QUAL-PROPS#2,QUAL-PROPS#2,QUAL-INPUT#2,QUAL-INPUT#2,QUAL-INPUT#2,QUAL-INPUT#2,QUAL-INPUT#2
VARS->,QSD,VPFW,QSO,VQO,SQO,POTFW,ACQOP,SQOLIM,WSQOP
A51027,1,0,1,0,17.61982,0.500000,1.761982,17.61982,0.500000
A51029,1,0,1,0,13.64736,0.500000,1.364736,13.64736,0.500000
A51031,1,0,1,0,13.66507,0.500000,1.366507,13.66507,0.500000
A51033,1,0,1,0,13.42280,0.500000,1.342280,13.42280,0.500000
A51035,1,0,1,0,24.35890,0.500000,2.435890,24.35890,0.500000
A51036,1,0,1,0,13.39719,0.500000,1.339719,13.39719,0.500000
A51037,1,0,1,0,36.05771,0.500000,3.605771,36.05771,0.500000
A51041,1,0,1,0,13.60377,0.500000,1.360378,13.60377,0.500000
A51043,1,0,1,0,13.93601,0.500000,1.393602,13.93601,0.500000
A51045,1,0,1,0,13.49168,0.500000,1.349169,13.49168,0.500000
A51047,1,0,1,0,13.47134,0.500000,1.347134,13.47134,0.500000
A51049,1,0,1,0,13.61802,0.500000,1.361802,13.61802,0.500000
A51051,1,0,1,0,13.08915,0.500000,1.308916,13.08915,0.500000
A51053,1,0,1,0,13.30484,0.500000,1.330484,13.30484,0.500000
A51057,1,0,1,0,13.44582,0.500000,1.344583,13.44582,0.500000
A51059,1,0,1,0,13.49684,0.500000,1.349684,13.49684,0.500000
A51061,1,0,1,0,13.55587,0.500000,1.355587,13.55587,0.500000
A51063,1,0,1,0,23.08966,0.500000,2.308966,23.08966,0.500000
A51065,1,0,1,0,13.59440,0.500000,1.359440,13.59440,0.500000
A51067,1,0,1,0,31.90480,0.500000,3.190480,31.90480,0.500000
A51069,1,0,1,0,13.87336,0.500000,1.387336,13.87336,0.500000
A51071,1,0,1,0,13.35908,0.500000,1.335909,13.35908,0.500000
A51073,1,0,1,0,13.04193,0.500000,1.304193,13.04193,0.500000
A51075,1,0,1,0,13.63745,0.500000,1.363745,13.63745,0.500000
A51077,1,0,1,0,29.08026,0.500000,2.908026,29.08026,0.500000
A51079,1,0,1,0,13.44561,0.500000,1.344562,13.44561,0.500000
A51081,1,0,1,0,10.17185,0.500000,1.017185,10.17185,0.500000
A51083,1,0,1,0,11.02020,0.500000,1.102020,11.02020,0.500000
A51085,1,0,1,0,13.53027,0.500000,1.353028,13.53027,0.500000
A51087,1,0,1,0,13.51547,0.500000,1.351548,13.51547,0.500000
A51089,1,0,1,0,16.27155,0.500000,1.627155,16.27155,0.500000
A51091,1,0,1,0,13.21457,0.500000,1.321457,13.21457,0.500000
A51093,1,0,1,0,13.08997,0.500000,1.308998,13.08997,0.500000
A51095,1,0,1,0,13.03964,0.500000,1.303964,13.03964,0.500000
A51097,1,0,1,0,13.50306,0.500000,1.350306,13.50306,0.500000
A51099,1,0,1,0,13.22898,0.500000,1.322899,13.22898,0.500000
A51101,1,0,1,0,13.54023,0.500000,1.354023,13.54023,0.500000
A51103,1,0,1,0,13.16393,0.500000,1.316393,13.16393,0.500000
A51105,1,0,1,0,10.87205,0.500000,1.087204,10.87205,0.500000
