 point source lrseg ,A24045EL2_4630_0000
 point source lrseg ,A24039EL0_5890_0000
 point source lrseg ,A24029EU0_3724_0000
 point source lrseg ,A24039EL0_6002_0000
 point source lrseg ,A24017PL2_5300_5630
 point source lrseg ,A24015SL9_2720_0001
 point source lrseg ,A24017PL2_5800_0000
 point source lrseg ,A24043PU0_3601_3602
 point source lrseg ,A24021PM1_3710_4040
 point source lrseg ,A24003XL3_4713_0000
 point source lrseg ,A24027XU2_4270_4650
 point source lrseg ,A24019EM0_4880_0000
 point source lrseg ,A24029EU0_4015_0000
 point source lrseg ,A24017PL0_5671_0000
 point source lrseg ,A24023PU2_4720_4750
 point source lrseg ,A24005WM0_3650_0001
 point source lrseg ,A51099PL0_5900_0000
 point source lrseg ,A24025WU0_3252_0000
 point source lrseg ,A24027WM3_4060_0001
 point source lrseg ,A24011EM2_3980_0001
 point source lrseg ,A24037PL1_5910_0001
 point source lrseg ,A24017PL0_5791_0000
 point source lrseg ,A24041EU0_4872_0000
 point source lrseg ,A24045EL0_5040_0000
 point source lrseg ,B24001PU1_3940_3970
 point source lrseg ,A24023PU3_4450_4440
 point source lrseg ,A24043PU2_4050_4180
 point source lrseg ,A24043PU0_3611_3530
 point source lrseg ,A24043PM7_4150_4290
 point source lrseg ,A24031PM7_4580_4820
 point source lrseg ,A24043PU0_3751_3752
 point source lrseg ,A24043PU6_3610_3530
 point source lrseg ,A24013PM1_3120_3400
 point source lrseg ,A24031PM7_4410_4620
 point source lrseg ,A24041EM2_4101_0000
 point source lrseg ,A36107SU7_0550_0540
 point source lrseg ,A36017SU3_0170_0270
 point source lrseg ,A36017SU3_0010_0190
 point source lrseg ,A36101SU3_0490_0530
 point source lrseg ,A36053SU2_0070_0090
 point source lrseg ,A36017SU4_0270_0430
 point source lrseg ,A36101SU3_0370_0490
 point source lrseg ,A36003SU2_0510_0570
 point source lrseg ,A36101SU2_0570_0580
 point source lrseg ,A36077SU2_0030_0140
 point source lrseg ,A36007SU6_0500_0550
 point source lrseg ,A36101SU5_0530_0610
 point source lrseg ,A36023SU4_0260_0350
 point source lrseg ,A36007SU2_0440_0550
 point source lrseg ,A36025SU5_0340_0310
 point source lrseg ,A36107SU2_0450_0720
 point source lrseg ,A36077SU4_0220_0250
 point source lrseg ,A36077SU2_0020_0140
 point source lrseg ,A36053SU2_0110_0240
 point source lrseg ,A36015SU5_0530_0610
 point source lrseg ,A36109SU2_0470_0590
 point source lrseg ,A36097SU3_0490_0530
 point source lrseg ,A36017SU3_0240_0350
 point source lrseg ,A36007SU5_0420_0500
 point source lrseg ,A36017SU2_0110_0240
 point source lrseg ,A36007SU6_0480_0520
 point source lrseg ,A42037SU7_1420_1590
 point source lrseg ,A42067SJ6_1930_1970
 point source lrseg ,A42069SU7_0980_1120
 point source lrseg ,A42107SL2_1850_1990
 point source lrseg ,A42013SJ3_2250_2230
 point source lrseg ,A42097SU8_1530_1760
 point source lrseg ,A42093SW1_1450_1510
 point source lrseg ,B42119SW7_1460_1640
 point source lrseg ,A42133SL1_2760_2730
 point source lrseg ,A42131SU7_0960_0950
 point source lrseg ,A42015SU7_0850_0730
 point source lrseg ,B42043SL9_2380_2310
 point source lrseg ,A42041SL9_2050_2270
 point source lrseg ,A42001SL3_2460_2430
 point source lrseg ,A42009SJ4_2740_2660
 point source lrseg ,B42035SW3_1580_1440
 point source lrseg ,A42027SW1_1890_1830
 point source lrseg ,A42027SW1_1830_1690
 point source lrseg ,A42117SU2_0920_0830
 point source lrseg ,A42061SJ5_2320_2120
 point source lrseg ,A42097SW7_1460_1640
 point source lrseg ,A42071SL3_2350_2470
 point source lrseg ,A42097SL1_1730_1700
 point source lrseg ,A42057PU2_2840_3080
 point source lrseg ,A42109SL1_1790_1840
 point source lrseg ,A42055PU0_3000_3090
 point source lrseg ,B42081SW7_1410_1460
 point source lrseg ,A42133SL1_2770_2730
 point source lrseg ,A42133SL3_2460_2430
 point source lrseg ,A42055PU2_2790_3290
 point source lrseg ,A42033SW3_1920_1750
 point source lrseg ,A42009PU2_3140_3680
 point source lrseg ,A42041SL4_2330_2270
 point source lrseg ,A42071SL2_2300_2520
 point source lrseg ,A42001PM2_2860_3040
 point source lrseg ,A42099SJ2_2150_2130
 point source lrseg ,A42099SL3_2260_2050
 point source lrseg ,A42099SL9_2050_2270
 point source lrseg ,A42117SW3_0930_1110
 point source lrseg ,A42071SL9_2490_2520
 point source lrseg ,A42075SL0_2180_2220
 point source lrseg ,A42117SU2_0830_0831
 point source lrseg ,A42071SL2_2200_2350
 point source lrseg ,A42117SU2_0740_0741
 point source lrseg ,A42071SL1_2390_2420
 point source lrseg ,A42009SJ2_2900_2740
 point source lrseg ,A42043SL8_2080_2050
 point source lrseg ,A42071SL9_2430_2490
 point source lrseg ,A42021SW2_2020_1940
 point source lrseg ,B42041SL3_2400_2440
 point source lrseg ,A42079SU7_1420_1590
 point source lrseg ,A42133SL9_2520_2700
 point source lrseg ,A42093SU8_1530_1760
 point source lrseg ,A42107SL2_1670_1880
 point source lrseg ,A42115SU6_0480_0520
 point source lrseg ,A42133SL9_2430_2490
 point source lrseg ,A42041SL4_2370_2330
 point source lrseg ,A42037SL1_1730_1700
 point source lrseg ,A42107SL1_1730_1700
 point source lrseg ,A42041SL3_2400_2440
 point source lrseg ,A42133SL3_2400_2440
 point source lrseg ,A42087SJ2_1900_1930
 point source lrseg ,A42033SW4_1720_1650
 point source lrseg ,A42079SU7_1140_1420
 point source lrseg ,A42071SL9_2520_2700
 point source lrseg ,A42061SJ4_2010_2210
 point source lrseg ,A42133SL3_2550_2490
 point source lrseg ,A42087SJ6_1930_1970
 point source lrseg ,A42079SU3_0970_1120
 point source lrseg ,A42041SL9_2270_2380
 point source lrseg ,B42043SL4_2240_2310
 point source lrseg ,A42069SU3_0970_1120
 point source lrseg ,A42097SL1_1700_1780
 point source lrseg ,A42071SL3_2420_2700
 point source lrseg ,A42071SL3_2470_2420
 point source lrseg ,A42013SJ3_2040_1980
 point source lrseg ,A42079SU1_1480_1500
 point source lrseg ,B42081SW7_1340_1320
 point source lrseg ,B42081SW7_1320_1300
 point source lrseg ,A42069SU3_0810_0970
 point source lrseg ,A42115SU3_0810_0970
 point source lrseg ,A42127SU3_0810_0970
 point source lrseg ,A42041SL3_2440_2380
 point source lrseg ,A42133SL3_2440_2380
 point source lrseg ,B42043SL9_2270_2380
 point source lrseg ,A42071SL1_2190_2350
 point source lrseg ,B42035SW6_1440_1470
 point source lrseg ,A42075SL4_2090_2100
 point source lrseg ,A42015SU2_0800_0850
 point source lrseg ,B42119SW1_1570_1640
 point source lrseg ,A42023SW2_1240_1270
 point source lrseg ,B42081SW7_1470_1340
 point source lrseg ,A42021SW3_1870_1800
 point source lrseg ,A42041SL1_2670_2370
 point source lrseg ,A42055SL1_2670_2370
 point source lrseg ,A42027SW3_1660_1580
 point source lrseg ,A42013SJ4_2010_2210
 point source lrseg ,A42075SL1_2000_2090
 point source lrseg ,A42133SL2_2910_3060
 point source lrseg ,A42133SL1_2830_2760
 point source lrseg ,C42009SJ4_2740_2660
 point source lrseg ,B42027SW3_1750_1540
 point source lrseg ,A42033SW3_1750_1540
 point source lrseg ,A42043SL3_1960_2080
 point source lrseg ,A42015SU7_0720_0750
 point source lrseg ,A42035SW6_1230_1440
 point source lrseg ,B42119SW7_1640_1680
 point source lrseg ,A42107SL3_1960_2080
 point source lrseg ,A42079SU2_1290_1500
 point source lrseg ,A42079SU2_1550_1620
 point source lrseg ,A42115SU2_0700_0860
 point source lrseg ,A42069SU3_0710_0910
 point source lrseg ,A42107SU2_1550_1620
 point source lrseg ,A42025SU2_1550_1620
 point source lrseg ,A42055PU3_3290_3390
 point source lrseg ,A42075SL2_2070_2090
 point source lrseg ,A42133SL9_2310_2430
 point source lrseg ,B42043SL9_2310_2430
 point source lrseg ,B42009SJ2_2530_2820
 point source lrseg ,A42109SL8_1780_1880
 point source lrseg ,A42027SW3_1690_1660
 point source lrseg ,A42015SU2_0700_0860
 point source lrseg ,A42117SU2_0741_0690
 point source lrseg ,A42081SW7_1410_1460
 point source lrseg ,B42119SW7_1410_1460
 point source lrseg ,B42081SW2_1190_1410
 point source lrseg ,A42021SW2_1950_1940
 point source lrseg ,B42081SW7_1300_1410
 point source lrseg ,A51165PS2_5560_5100
 point source lrseg ,A51171PS3_5100_5080
 point source lrseg ,A51139PS4_5840_5240
 point source lrseg ,A51820PS2_6660_6490
 point source lrseg ,A51165PS4_5840_5240
 point source lrseg ,A51187PS5_5200_4380
 point source lrseg ,A51165PS3_5990_6161
 point source lrseg ,A51041JB0_7073_0000
 point source lrseg ,A51199YL0_7370_0000
 point source lrseg ,B51019JL6_7160_7440
 point source lrseg ,A51101YP0_6782_0000
 point source lrseg ,A51119RL0_6500_0000
 point source lrseg ,A51710JB0_7580_0000
 point source lrseg ,A51740JB0_7397_0000
