TABLE->,SLD-PARM1,SLD-PARM1,SLD-PARM1,SLD-PARM2,SLD-PARM2,SLD-PARM2,SLD-PARM2,SLD-STOR
VARS->,VASD,VRSD,SDOP,KEIM,JEIM,ACCSDP,REMSDP,SLDS
A51113,0,0,0,0.438131,2,0.1,0.07675,1
A51115,0,0,0,0.576644,2,0.1,0.07675,1
A51117,0,0,0,2.5,2,0.1,0.07675,1
A51119,0,0,0,0.561818,2,0.1,0.07675,1
A51121,0,0,0,0.769056,2,0.1,0.07675,1
A51125,0,0,0,0.469592,2,0.1,0.07675,1
A51127,0,0,0,0.801261,2,0.1,0.07675,1
A51131,0,0,0,0.686626,2,0.1,0.07675,1
A51133,0,0,0,0.555346,2,0.1,0.07675,1
A51135,0,0,0,0.409377,2,0.1,0.07675,1
A51137,0,0,0,0.461826,2,0.1,0.07675,1
A51139,0,0,0,0.689715,2,0.1,0.07675,1
A51141,0,0,0,2.5,2,0.1,0.07675,1
A51143,0,0,0,2.5,2,0.1,0.07675,1
A51145,0,0,0,0.491332,2,0.1,0.07675,1
A51147,0,0,0,0.474548,2,0.1,0.07675,1
A51149,0,0,0,0.661873,2,0.1,0.07675,1
A51153,0,0,0,0.853794,2,0.1,0.07675,1
A51155,0,0,0,2.5,2,0.1,0.07675,1
A51157,0,0,0,0.533137,2,0.1,0.07675,1
A51159,0,0,0,0.661905,2,0.1,0.07675,1
A51161,0,0,0,0.871020,2,0.1,0.07675,1
A51163,0,0,0,0.644342,2,0.1,0.07675,1
A51165,0,0,0,0.698310,2,0.1,0.07675,1
A51167,0,0,0,2.5,2,0.1,0.07675,1
A51169,0,0,0,2.5,2,0.1,0.07675,1
A51171,0,0,0,0.683841,2,0.1,0.07675,1
A51173,0,0,0,2.5,2,0.1,0.07675,1
A51175,0,0,0,2.5,2,0.1,0.07675,1
A51177,0,0,0,0.478850,2,0.1,0.07675,1
A51179,0,0,0,0.534991,2,0.1,0.07675,1
A51181,0,0,0,0.586079,2,0.1,0.07675,1
A51183,0,0,0,2.5,2,0.1,0.07675,1
A51185,0,0,0,2.5,2,0.1,0.07675,1
A51187,0,0,0,0.537428,2,0.1,0.07675,1
A51191,0,0,0,2.5,2,0.1,0.07675,1
A51193,0,0,0,0.646415,2,0.1,0.07675,1
A51195,0,0,0,2.5,2,0.1,0.07675,1
A51197,0,0,0,2.5,2,0.1,0.07675,1
A51199,0,0,0,0.644921,2,0.1,0.07675,1
A51510,0,0,0,0.734078,2,0.1,0.07675,1
A51515,0,0,0,2.5,2,0.1,0.07675,1
A51520,0,0,0,2.5,2,0.1,0.07675,1
A51530,0,0,0,0.468162,2,0.1,0.07675,1
A51540,0,0,0,0.376982,2,0.1,0.07675,1
A51550,0,0,0,0.698626,2,0.1,0.07675,1
A51570,0,0,0,0.618744,2,0.1,0.07675,1
A51580,0,0,0,0.522269,2,0.1,0.07675,1
A51590,0,0,0,2.5,2,0.1,0.07675,1
A51595,0,0,0,2.5,2,0.1,0.07675,1
A51600,0,0,0,0.666639,2,0.1,0.07675,1
A51610,0,0,0,0.682433,2,0.1,0.07675,1
A51620,0,0,0,2.5,2,0.1,0.07675,1
A51630,0,0,0,0.431187,2,0.1,0.07675,1
A51640,0,0,0,2.5,2,0.1,0.07675,1
A51650,0,0,0,0.632327,2,0.1,0.07675,1
A51660,0,0,0,0.637016,2,0.1,0.07675,1
A51670,0,0,0,0.625510,2,0.1,0.07675,1
A51678,0,0,0,0.460571,2,0.1,0.07675,1
A51680,0,0,0,0.650123,2,0.1,0.07675,1
A51683,0,0,0,0.649355,2,0.1,0.07675,1
A51685,0,0,0,0.666980,2,0.1,0.07675,1
A51690,0,0,0,2.5,2,0.1,0.07675,1
A51700,0,0,0,0.742435,2,0.1,0.07675,1
A51710,0,0,0,0.614588,2,0.1,0.07675,1
A51720,0,0,0,2.5,2,0.1,0.07675,1
A51730,0,0,0,0.578976,2,0.1,0.07675,1
A51735,0,0,0,0.666129,2,0.1,0.07675,1
A51740,0,0,0,0.597779,2,0.1,0.07675,1
A51750,0,0,0,2.5,2,0.1,0.07675,1
A51760,0,0,0,0.727234,2,0.1,0.07675,1
A51770,0,0,0,2.5,2,0.1,0.07675,1
A51775,0,0,0,2.5,2,0.1,0.07675,1
A51790,0,0,0,0.484683,2,0.1,0.07675,1
A51800,0,0,0,0.741557,2,0.1,0.07675,1
A51810,0,0,0,0.619861,2,0.1,0.07675,1
A51820,0,0,0,0.345603,2,0.1,0.07675,1
A51830,0,0,0,0.534127,2,0.1,0.07675,1
A51840,0,0,0,0.460856,2,0.1,0.07675,1
A54003,0,0,0,0.741476,2,0.1,0.07675,1
A54023,0,0,0,0.644192,2,0.1,0.07675,1
A54027,0,0,0,0.692103,2,0.1,0.07675,1
A54031,0,0,0,0.713225,2,0.1,0.07675,1
A54037,0,0,0,0.740190,2,0.1,0.07675,1
A54057,0,0,0,0.604727,2,0.1,0.07675,1
A54063,0,0,0,0.576478,2,0.1,0.07675,1
A54065,0,0,0,0.701751,2,0.1,0.07675,1
A54071,0,0,0,0.980901,2,0.1,0.07675,1
A54077,0,0,0,0.506083,2,0.1,0.07675,1
A54093,0,0,0,0.460257,2,0.1,0.07675,1
B24001,0,0,0,0.541567,2,0.1,0.07675,1
B24021,0,0,0,0.701016,2,0.1,0.07675,1
B37005,0,0,0,2.5,2,0.1,0.07675,1
B37009,0,0,0,2.5,2,0.1,0.07675,1
B42001,0,0,0,0.563817,2,0.1,0.07675,1
B42009,0,0,0,0.740216,2,0.1,0.07675,1
B42015,0,0,0,0.642936,2,0.1,0.07675,1
B42027,0,0,0,0.635933,2,0.1,0.07675,1
B42035,0,0,0,0.604020,2,0.1,0.07675,1
B42041,0,0,0,0.627083,2,0.1,0.07675,1
B42043,0,0,0,0.728981,2,0.1,0.07675,1
B42055,0,0,0,1.059854,2,0.1,0.07675,1
B42079,0,0,0,0.692260,2,0.1,0.07675,1
B42081,0,0,0,1.103658,2,0.1,0.07675,1
B42119,0,0,0,0.542338,2,0.1,0.07675,1
B42131,0,0,0,0.628847,2,0.1,0.07675,1
B51003,0,0,0,0.392284,2,0.1,0.07675,1
B51009,0,0,0,0.431088,2,0.1,0.07675,1
B51015,0,0,0,0.509371,2,0.1,0.07675,1
B51017,0,0,0,0.524869,2,0.1,0.07675,1
B51019,0,0,0,0.731926,2,0.1,0.07675,1
