TABLE->,IWT-PARM1,IWT-PARM1,IWT-PARM2,IWT-PARM2,IWT-PARM2
VARS->,WTFV,CSNO,ELEV,AWTF,BWTF
B51015,0,0,2191.78,35,0.65
B51017,0,0,1579.54,35,0.65
B51019,0,0,896.6,35,0.65
B51023,0,0,2170.64,35,0.65
B51035,0,0,3519.768,35,0.65
B51061,0,0,886.52,35,0.65
B51067,0,0,1958.24,35,0.65
B51071,0,0,1710.99,35,0.65
B51077,0,0,1819.1044,35,0.65
B51079,0,0,1687.3,35,0.65
B51091,0,0,2209.67,35,0.65
B51105,0,0,2923.29672,35,0.65
B51113,0,0,2144.63,35,0.65
B51125,0,0,1857.82,35,0.65
B51139,0,0,1838.71,35,0.65
B51141,0,0,2683.21,35,0.65
B51157,0,0,1810.16,35,0.65
B51161,0,0,1569.78,35,0.65
B51163,0,0,2154.29,35,0.65
B51165,0,0,1564.76,35,0.65
B51167,0,0,1905.88992,35,0.65
B51169,0,0,1408.21224,35,0.65
B51171,0,0,1250.28,35,0.65
B51173,0,0,2439.5,35,0.65
B51185,0,0,1969.84336,35,0.65
B51187,0,0,1181.67,35,0.65
B51191,0,0,2287.08168,35,0.65
B51195,0,0,2120.6512,35,0.65
B51197,0,0,2505.30992,35,0.65
B54023,0,0,1146.43,35,0.65
B54031,0,0,989.36,35,0.65
B54057,0,0,825.91,35,0.65
B54071,0,0,2248.34,35,0.65
C42009,0,0,1222.22,35,0.65
C51015,0,0,1760.49,35,0.65
C51071,0,0,2040.7,35,0.65
C51165,0,0,2272.32,35,0.65
end,,,,,
