Year,Month,(kg/mo),+/- (kg/mo),+/- Pct
1995,2,"728,230","193,908",27
1995,3,"3,565,317","1,527,998",43
1995,4,"392,071","105,425",27
1995,5,"1,113,879","319,526",29
1995,6,"3,907,318","2,216,365",57
1995,7,"4,942,210","2,434,345",49
1995,8,"61,238","17,756",29
1995,9,"7,402","2,140",29
1995,10,"2,950,687","1,242,199",42
1995,11,"1,902,892","650,807",34
1995,12,"2,070,812","766,542",37
1996,1,"9,581,395","3,146,171",33
1996,2,"4,996,572","1,335,631",27
1996,3,"2,905,695","933,361",32
1996,4,"3,707,115","1,145,855",31
1996,5,"1,987,371","496,538",25
1996,6,"1,281,546","421,607",33
1996,7,"1,252,120","470,556",38
1996,8,"1,034,338","322,726",31
1996,9,"13,828,908","5,843,552",42
1996,10,"7,745,513","2,797,900",36
1996,11,"4,402,319","1,580,556",36
1996,12,"12,287,851","3,370,423",27
1997,1,"3,096,760","743,606",24
1997,2,"4,200,849","1,160,968",28
1997,3,"6,347,281","1,726,489",27
1997,4,"2,408,295","741,743",31
1997,5,"978,097","270,169",28
1997,6,"554,082","215,499",39
1997,7,"1,227,263","730,565",60
1997,8,"71,225","20,192",28
1997,9,"71,218","35,292",50
1997,10,"139,930","50,673",36
1997,11,"5,611,957","2,351,075",42
1997,12,"953,229","256,825",27
1998,1,"12,949,809","4,847,467",37
1998,2,"28,113,609","7,980,620",28
1998,3,"20,976,313","6,908,689",33
1998,4,"7,362,564","2,195,448",30
1998,5,"6,254,439","2,352,723",38
1998,6,"1,000,582","258,740",26
1998,7,"121,876","36,297",30
1998,8,"21,753","5,583",26
1998,9,"5,339","1,499",28
1998,10,"11,594","3,155",27
1998,11,"32,242","7,818",24
1998,12,"58,242","16,446",28
1999,1,"850,907","372,464",44
1999,2,"297,462","84,542",28
1999,3,"5,078,236","2,068,305",41
1999,4,"563,658","146,155",26
1999,5,"107,022","27,379",26
1999,6,"17,877","5,090",28
1999,7,"62,885","39,250",62
1999,8,"38,041","19,450",51
1999,9,"3,516,626","2,141,737",61
1999,10,"1,502,462","807,542",54
1999,11,"346,166","128,600",37
1999,12,"1,383,256","623,193",45
2000,1,"1,027,001","301,926",29
2000,2,"2,438,573","673,904",28
2000,3,"2,717,057","895,080",33
2000,4,"8,208,008","2,913,058",35
2000,5,"1,367,999","435,647",32
2000,6,"814,521","345,824",42
2000,7,"593,136","243,907",41
2000,8,"146,734","39,900",27
2000,9,"554,843","202,083",36
2000,10,"54,259","16,675",31
2000,11,"93,808","28,742",31
2000,12,"588,291","283,013",48
2001,1,"1,352,574","642,563",48
2001,2,"733,148","197,765",27
2001,3,"6,233,020","2,800,541",45
2001,4,"6,499,671","3,417,997",53
2001,5,"1,542,832","823,095",53
2001,6,"2,982,517","1,347,766",45
2001,7,"78,173","36,434",47
2001,8,"101,649","32,731",32
2001,9,"28,842","8,727",30
2001,10,"10,410","2,938",28
2001,11,"9,463","2,705",29
2001,12,"44,816","13,593",30
2002,1,"84,047","23,353",28
2002,2,"49,415","14,251",29
2002,3,"159,816","42,415",27
2002,4,"303,183","119,689",39
2002,5,"256,125","79,554",31
2002,6,"13,974","4,066",29
2002,7,"6,647","2,110",32
2002,8,"407,160","382,982",94
2002,9,"56,085","28,871",51
2002,10,"113,730","67,528",59
2002,11,"3,307,492","1,311,681",40
2002,12,"2,274,434","756,194",33
2003,1,"1,267,335","540,688",43
2003,2,"16,849,310","8,096,942",48
2003,3,"15,954,741","5,980,193",37
2003,4,"10,635,757","3,710,092",35
2003,5,"16,463,889","5,930,409",36
2003,6,"15,674,548","4,745,508",30
2003,7,"3,519,633","1,452,503",41
2003,8,"1,556,909","484,167",31
2003,9,"27,416,090","11,338,241",41
2003,10,"1,495,110","517,712",35
2003,11,"9,892,808","3,464,078",35
2003,12,"18,536,028","6,376,354",34
2004,1,"2,143,754","573,792",27
2004,2,"6,484,829","2,625,402",40
2004,3,"1,665,095","514,314",31
2004,4,"5,293,764","2,277,062",43
2004,5,"1,324,185","469,756",35
2004,6,"1,477,724","514,593",35
2004,7,"2,349,621","1,059,848",45
2004,8,"6,890,696","3,423,785",50
2004,9,"8,301,510","3,300,991",40
2004,10,"859,359","395,569",46
2004,11,"5,942,309","2,808,607",47
2004,12,"3,625,807","1,584,720",44
