YEAR,Month,(kg/mo),+/- (kg/mo),+/- Pct
1999,6,"15,906","2,221",14
1999,7,"28,607","3,658",13
1999,8,"7,464","1,183",16
1999,9,"3,362,102","772,847",23
1999,10,"440,218","68,016",15
1999,11,"230,219","31,071",13
1999,12,"371,542","51,088",14
2000,1,"718,255","114,653",16
2000,2,"1,582,972","210,496",13
2000,3,"1,052,234","146,070",14
2000,4,"3,270,149","592,185",18
2000,5,"329,280","44,271",13
2000,6,"311,114","47,939",15
2000,7,"268,823","42,008",16
2000,8,"119,098","21,270",18
2000,9,"194,645","30,657",16
2000,10,"33,530","4,417",13
2000,11,"81,398","11,960",15
2000,12,"310,426","59,479",19
2001,1,"633,164","129,635",20
2001,2,"405,031","58,231",14
2001,3,"3,252,842","619,277",19
2001,4,"2,291,547","513,128",22
2001,5,"190,026","30,618",16
2001,6,"744,360","113,278",15
2001,7,"23,437","3,187",14
2001,8,"94,737","17,915",19
2001,9,"11,832","1,699",14
2001,10,"6,726","1,136",17
2001,11,"6,455","1,153",18
2001,12,"41,175","6,240",15
2002,1,"159,360","20,548",13
2002,2,"112,340","16,570",15
2002,3,"586,718","101,305",17
2002,4,"177,940","22,720",13
2002,5,"156,770","21,184",14
2002,6,"12,476","1,880",15
2002,7,"3,890",752,19
2002,8,"2,066",474,23
2002,9,"3,020",622,21
2002,10,"14,764","2,584",18
2002,11,"2,112,333","337,441",16
2002,12,"2,019,409","320,865",16
2003,1,"752,901","124,678",17
2003,2,"3,396,591","609,997",18
2003,3,"6,048,092","999,221",17
2003,4,"5,264,757","917,873",17
2003,5,"9,048,412","1,791,656",20
2003,6,"2,847,919","459,904",16
2003,7,"855,418","133,436",16
2003,8,"976,789","162,106",17
2003,9,"11,794,930","2,340,500",20
2003,10,"443,962","70,033",16
2003,11,"1,651,341","271,980",16
2003,12,"4,956,531","831,215",17
2004,1,"715,275","96,541",13
2004,2,"2,329,076","440,039",19
2004,3,"611,635","97,607",16
2004,4,"816,170","151,218",19
2004,5,"304,389","48,279",16
2004,6,"429,913","76,554",18
2004,7,"395,217","74,035",19
2004,8,"4,487,345","1,097,368",24
2004,9,"3,506,653","777,706",22
2004,10,"398,584","67,320",17
2004,11,"1,580,114","283,244",18
2004,12,"1,882,442","359,279",19
