Year,Month,(kg/mo),+/- (kg/mo),+/- Pct
1993,3,"323,057,481","291,135,779",90
1993,4,"70,193,685","41,486,413",59
1993,5,"7,718,753","3,730,101",48
1993,6,"745,828","265,880",36
1993,7,"251,042","112,558",45
1993,8,"109,598","81,355",74
1993,9,"16,296","6,796",42
1993,10,"14,404","5,515",38
1993,11,"148,146,019","157,192,615",106
1993,12,"23,923,178","19,841,981",83
1994,1,"15,998,235","10,989,460",69
1994,2,"40,221,311","31,768,874",79
1994,3,"140,446,034","74,091,969",53
1994,4,"7,107,669","2,904,611",41
1994,5,"1,020,434","354,964",35
1994,6,"185,901","65,853",35
1994,7,"34,967,222","36,324,369",104
1994,8,"64,266,951","69,600,090",108
1994,9,"319,199","136,658",43
1994,10,"70,677","21,039",30
1994,11,"116,397","39,685",34
1994,12,"480,894","239,058",50
1995,1,"13,944,253","12,761,225",92
1995,2,"651,048","219,913",34
1995,3,"6,970,007","7,251,255",104
1995,4,"283,677","91,648",32
1995,5,"997,208","351,091",35
1995,6,"708,117,937","671,986,771",95
1995,7,"22,051,607","16,625,393",75
1995,8,"773,979","534,845",69
1995,9,"42,207","17,150",41
1995,10,"11,971,078","10,598,832",89
1995,11,"10,266,133","6,863,012",67
1995,12,"4,813,505","3,123,343",65
1996,1,"295,984,019","322,958,204",109
1996,2,"8,005,169","3,000,568",37
1996,3,"10,353,621","5,778,029",56
1996,4,"14,329,125","8,694,737",61
1996,5,"9,169,362","2,994,106",33
1996,6,"15,523,998","9,260,366",60
1996,7,"2,793,128","1,865,713",67
1996,8,"14,073,788","10,432,488",74
1996,9,"1,242,279,916","1,185,650,071",95
1996,10,"41,708,977","40,389,370",97
1996,11,"11,467,111","8,615,125",75
1996,12,"52,432,975","31,180,682",59
1997,1,"5,590,115","2,908,171",52
1997,2,"4,508,328","1,834,581",41
1997,3,"14,970,774","9,225,276",62
1997,4,"2,609,268","936,360",36
1997,5,"639,515","208,263",33
1997,6,"1,843,729","1,024,431",56
1997,7,"3,720,127","3,241,003",87
1997,8,"39,735","13,593",34
1997,9,"485,575","432,015",89
1997,10,"103,295","41,184",40
1997,11,"112,224,026","127,792,737",114
1997,12,"512,326","197,136",38
1998,1,"205,228,306","182,138,426",89
1998,2,"573,779,170","465,392,121",81
1998,3,"263,435,668","229,073,033",87
1998,4,"11,573,126","7,007,002",61
1998,5,"113,554,517","110,116,430",97
1998,6,"2,271,468","1,011,251",45
1998,7,"174,809","56,194",32
1998,8,"49,330","16,438",33
1998,9,"9,163","3,112",34
1998,10,"30,083","20,948",70
1998,11,"16,996","5,320",31
1998,12,"40,164","13,949",35
1999,1,"5,315,820","5,080,400",96
1999,2,"472,151","187,234",40
1999,3,"8,784,385","6,782,809",77
1999,4,"554,656","159,939",29
1999,5,"257,436","81,513",32
1999,6,"38,774","12,193",31
1999,7,"38,144","17,068",45
1999,8,"7,777","4,098",53
1999,9,"24,805,894","32,266,159",130
1999,10,"124,987,682","165,178,896",132
1999,11,"886,949","390,927",44
1999,12,"4,387,477","3,794,380",86
2000,1,"466,508","150,676",32
2000,2,"1,413,120","487,982",35
2000,3,"4,108,220","2,894,534",70
2000,4,"5,492,020","2,074,489",38
2000,5,"1,236,295","389,082",31
2000,6,"2,814,089","1,556,656",55
2000,7,"963,680","394,683",41
2000,8,"695,926","313,536",45
2000,9,"3,205,502","1,736,144",54
2000,10,"281,768","102,656",36
2000,11,"154,996","61,806",40
2000,12,"4,274,648","4,054,131",95
2001,1,"2,077,548","1,455,882",70
2001,2,"579,970","185,779",32
2001,3,"68,918,726","55,808,679",81
2001,4,"6,282,308","2,732,185",43
2001,5,"10,775,606","9,379,750",87
2001,6,"3,694,345","1,672,145",45
2001,7,"2,441,557","2,516,089",103
2001,8,"5,195,209","3,928,226",76
2001,9,"992,817","852,723",86
2001,10,"72,911","24,409",33
2001,11,"79,028","30,030",38
2001,12,"105,883","36,141",34
2002,1,"80,583","23,466",29
2002,2,"58,597","17,866",30
2002,3,"534,784","198,824",37
2002,4,"3,057,736","1,819,388",60
2002,5,"1,331,972","588,705",44
2002,6,"330,912","141,569",43
2002,7,"45,716","16,800",37
2002,8,"9,041","3,773",42
2002,9,"9,903","5,157",52
2002,10,"535,959","457,334",85
2002,11,"16,167,942","10,948,436",68
2002,12,"9,834,044","5,437,629",55
2003,1,"31,380,894","31,488,694",100
2003,2,"227,627,212","246,661,080",108
2003,3,"158,414,846","159,366,449",101
2003,4,"20,474,456","9,337,620",46
2003,5,"40,599,715","20,242,448",50
2003,6,"78,442,789","37,489,733",48
2003,7,"9,435,436","4,519,011",48
2003,8,"3,319,153","1,347,940",41
2003,9,"506,352,009","399,667,827",79
2003,10,"9,530,691","6,452,310",68
2003,11,"31,016,572","19,049,965",61
2003,12,"151,129,192","131,650,371",87
2004,1,"2,968,738","1,141,821",38
2004,2,"36,828,122","38,524,529",105
2004,3,"1,220,702","449,249",37
2004,4,"28,340,826","22,184,462",78
2004,5,"4,633,211","2,269,386",49
2004,6,"2,410,987","1,274,570",53
2004,7,"1,334,207","548,956",41
2004,8,"260,481","132,394",51
2004,9,"198,127,801","234,650,866",118
2004,10,"2,229,614","1,381,922",62
2004,11,"7,432,640","5,806,022",78
2004,12,"7,295,829","4,231,765",58
