riverseg, landseg, area (acres) ***
JL6_7440_7430,A51011,13649.26
JL6_7440_7430,B51019,29070.87
JL6_7440_7430,A51031,44305.06
JL6_7440_7430,A51680,31808.31
JL7_6800_7070,A51041,8192.98
JL7_6800_7070,A51075,127411.03
JL7_6800_7070,A51085,822.39
JL7_6800_7070,A51087,20482.66
JL7_6800_7070,A51109,1357.09
JL7_6800_7070,A51145,68467.72
JL7_6800_7070,A51760,2082.33
JL7_7030_6800,A51049,19665.56
JL7_7030_6800,A51075,9671.41
JL7_7030_6800,A51145,9231.87
JL7_7070_0001,A51041,5837.44
JL7_7070_0001,A51087,3551.94
JL7_7070_0001,A51760,13712.21
JL7_7100_7030,A51049,1479.84
JL7_7100_7030,A51075,660.2
JU1_6290_6590,A51017,691.83
JU1_6290_6590,A51091,37803.02
JU1_6300_6650,A51017,4338.25
JU1_6300_6650,B51017,444.92
JU1_6300_6650,A51091,19693.77
JU1_6300_6650,B51091,45965.1
JU1_6340_6650,B51017,1471.03
JU1_6340_6650,B51091,47080.83
JU1_6590_6600,A51017,10942.7
JU1_6880_7260,A51015,6334.66
JU1_6880_7260,B51015,10723.72
JU1_6880_7260,A51163,32070.9
JU1_6880_7260,B51163,26683.33
JU1_7560_7500,A51023,51776.31
JU1_7560_7500,A51045,197.37
JU1_7630_7490,A51045,59450.6
JU1_7630_7490,A51071,7530.41
JU1_7690_7490,A51045,52326.04
JU1_7690_7490,A51121,14365.21
JU1_7690_7490,A51161,4935.36
JU1_7750_7560,A51023,10105.2
JU1_7750_7560,A51161,11749.87
JU2_6410_6640,C51015,81798.82
JU2_6410_6640,A51163,8518.93
JU2_6600_6810,A51017,36221.01
JU2_6810_6900,A51017,4581.1
JU2_7140_7330,A51005,88484.43
JU2_7140_7330,A54063,19246.58
JU2_7180_7380,A51023,1656.53
JU2_7180_7380,A51163,83892.96
JU2_7360_7000,A51005,12979.53
JU2_7450_7360,A51005,47697.2
JU2_7450_7360,A51045,22059.67
JU2_7450_7360,A51071,154.13
JU2_7450_7360,A54063,29489.55
JU3_6380_6900,A51017,54602.57
JU3_6380_6900,A51091,46535.61
JU3_6640_6790,C51015,37945.6
JU3_6640_6790,B51017,26250.16
JU3_6640_6790,A51163,55993.92
JU3_6650_7300,A51005,32602.28
JU3_6650_7300,A51017,28180.07
JU3_6650_7300,B51017,114222.66
JU3_6650_7300,A51023,2297.5
JU3_6650_7300,A51163,555.46
JU3_6790_7260,A51015,17249.56
JU3_6790_7260,C51015,3236.06
JU3_6790_7260,A51678,1595.74
JU3_6790_7260,A51163,105041.6
JU3_6900_6950,A51005,9527.46
JU3_6900_6950,A51017,19688.33
JU3_6950_7330,A51005,37999.04
JU3_6950_7330,A51017,24248.8
JU3_6950_7330,A51580,730
JU3_7400_7510,A51005,1532.53
JU3_7400_7510,A51023,26098.4
JU3_7490_7400,A51023,23093.67
JU3_7490_7400,A51045,48672.76
JU4_7000_7300,A51005,51325.76
JU4_7000_7300,A51017,4155.18
JU4_7000_7300,B51017,12010.33
JU4_7000_7300,A51023,281.34
JU4_7000_7300,A51580,985.97
JU4_7260_7380,A51530,4372.5
JU4_7260_7380,A51163,12206.07
JU4_7260_7380,B51163,11640.1
JU4_7330_7000,A51005,4781.58
JU4_7330_7000,A51580,1898.47
JU4_7380_7160,A51163,6470.51
JU4_7380_7160,B51163,2278.18
JU5_7300_7510,A51005,258.26
JU5_7300_7510,A51023,54055.01
JU5_7300_7510,A51163,730.93
JU5_7420_7160,A51023,24044.19
JU5_7420_7160,B51023,27428.66
JU5_7420_7160,A51163,23191.32
JU5_7420_7160,B51163,15299.7
JU5_7500_7420,A51023,59699.27
JU5_7500_7420,B51023,11641.92
JU5_7510_7500,A51023,13123.36
KU0_8980_0000,A51035,20974.88
KU0_8980_0000,B51035,21803.87
KU0_8980_0000,A51141,25095.19
KU0_8980_0000,B51141,7052.94
MN0_7790_0000,A51810,2697.42
MN0_7870_0000,A51810,66709.57
MN0_8040_0000,A51550,54289.42
MN0_8040_0000,A51800,57176.09
MN0_8300_0001,A51800,14526.51
MN1_7590_7860,A51093,30102.33
MN1_7590_7860,A51181,25314.88
MN1_7620_7710,A51053,73092.3
MN1_7620_7710,A51730,159.7
MN1_7620_7710,A51149,1366.43
MN1_7620_7710,A51183,4915.62
MN1_7730_8160,A51175,25694.66
MN1_7730_8160,A51183,43665.91
MN1_7990_8100,A51037,3552.68
MN1_7990_8100,A51111,31288.67
MN1_8240_0000,A51800,61633.05
MN2_7720_7830,A51053,70292.22
