landseg,SORGN,UORGN,LROGN,AORGN
A42033,     0.000,   113.956,    54.873,     1.586
A42035,     0.000,   102.614,    57.756,     1.899
A42037,     0.000,   214.134,    68.814,     1.882
A42041,     0.000,    90.575,    65.825,     2.070
A42043,     0.000,    66.550,    27.761,     1.160
A42047,     0.000,   135.192,    42.968,     1.360
A42055,     0.000,    56.480,    72.745,     2.232
A42057,     0.000,   173.423,    61.523,     1.635
A42061,     0.000,   184.491,    67.761,     1.903
A42063,     0.000,   164.047,    62.200,     1.615
A42065,     0.000,   174.693,    64.082,     1.631
A42067,     0.000,    84.259,    56.487,     1.922
A42069,     0.000,    64.454,    76.845,     3.341
A42071,     0.000,    81.146,    75.065,     2.319
A42075,     0.000,    99.033,    75.052,     2.249
A42079,     0.000,    73.584,    71.598,     2.730
A42081,     0.000,   125.347,    70.332,     2.154
A42083,     0.000,   142.519,    41.212,     1.197
A42087,     0.000,   116.034,    63.000,     2.013
A42093,     0.000,   207.251,    60.882,     1.651
A42097,     0.000,   118.435,    76.178,     2.288
A42099,     0.000,   147.623,    68.212,     2.042
A42105,     0.000,    93.996,    39.325,     1.359
A42107,     0.000,   178.855,    71.765,     1.913
A42109,     0.000,   104.160,    51.882,     1.900
A42111,     0.000,   109.003,    56.476,     1.816
A42113,     0.000,   131.692,    68.490,     3.049
A42115,     0.000,   174.159,    67.794,     2.459
A42117,     0.000,   105.367,    56.616,     1.856
A42119,     0.000,   167.677,    67.909,     1.898
A42127,     0.000,   210.613,    70.434,     2.428
A42131,     0.000,    80.503,    64.039,     2.505
A42133,     0.000,    98.570,    69.522,     1.968
A51001,     0.000,   108.884,    39.306,     1.083
A51003,     0.000,    81.811,    43.710,     1.196
A51005,     0.000,   103.504,    67.130,     2.643
A51007,     0.000,   150.491,    24.836,     0.503
A51009,     0.000,    26.690,    28.726,     1.281
A51011,     0.000,   158.986,    48.130,     1.026
A51013,     0.000,   197.698,    56.934,     0.856
A51015,     0.000,    26.066,    42.913,     1.823
A51017,     0.000,   145.492,    68.263,     2.011
A51019,     0.000,   140.504,    60.805,     1.374
A51023,     0.000,   173.112,    70.697,     1.918
A51029,     0.000,   153.921,    38.016,     0.775
A51031,     0.000,   128.167,    45.163,     1.050
A51033,     0.000,    51.053,    57.701,     1.377
A51036,     0.000,    25.546,    21.345,     0.905
A51041,     0.000,    18.327,     5.433,     0.740
A51043,     0.000,    30.487,    27.436,     1.309
A51045,     0.000,    91.377,    79.206,     2.484
A51047,     0.000,    90.608,    63.115,     1.584
A51049,     0.000,   115.447,    29.121,     0.672
A51053,     0.000,   133.952,    26.608,     0.584
A51057,     0.000,    40.067,    69.441,     1.707
A51059,     0.000,   109.171,    45.438,     1.045
A51061,     0.000,    68.715,    13.133,     0.766
A51065,     0.000,    56.275,    29.377,     0.968
A51069,     0.000,    45.290,    26.484,     1.231
A51071,     0.000,   129.367,    79.996,     2.480
A51073,     0.000,   143.497,    66.042,     1.317
A51075,     0.000,   122.149,    35.881,     0.814
A51079,     0.000,    79.327,    51.431,     1.451
A51085,     0.000,   106.089,    57.531,     1.229
A51087,     0.000,    38.776,    24.180,     0.838
A51091,     0.000,   125.210,    62.216,     2.031
A51093,     0.000,     3.605,    28.489,     0.992
A51095,     0.000,    37.465,    53.366,     1.664
A51097,     0.000,    31.562,    61.326,     1.507
A51099,     0.000,   130.794,    66.237,     1.369
A51101,     0.000,    42.721,    62.111,     1.553
A51103,     0.000,   144.108,    62.543,     1.246
A51107,     0.000,    79.952,    37.180,     1.017
A51109,     0.000,   106.529,    18.766,     0.544
A51113,     0.000,    91.785,    72.862,     1.594
A51115,     0.000,   151.365,    66.734,     1.335
A51119,     0.000,   129.661,    64.751,     1.381
A51121,     0.000,   104.548,    76.334,     2.385
A51125,     0.000,    47.929,    39.945,     1.292
A51127,     0.000,    28.745,    25.094,     0.874
A51131,     0.000,    77.303,    49.122,     1.400
A51133,     0.000,   147.105,    60.876,     1.242
A51135,     0.000,   137.385,    36.585,     0.782
A51137,     0.000,    81.508,    35.345,     1.039
A51139,     0.000,    29.367,    40.805,     1.624
A51145,     0.000,   129.545,    21.825,     0.627
A51147,     0.000,   143.087,    31.410,     0.662
A51149,     0.000,     9.396,    26.689,     1.174
A51153,     0.000,   133.487,    34.600,     0.805
A51157,     0.000,   130.482,    69.721,     1.469
A51159,     0.000,    73.703,    64.837,     1.399
A51161,     0.000,   167.403,    74.047,     1.861
A51163,     0.000,    39.226,    41.277,     1.823
A51165,     0.000,    25.647,    42.325,     1.717
A51171,     0.000,    32.798,    34.833,     1.490
A51177,     0.000,    77.776,    13.281,     0.669
A51179,     0.000,   115.999,    43.627,     0.918
A51181,     0.000,     9.010,    30.788,     1.203
A51187,     0.000,    30.037,    24.506,     1.280
A51193,     0.000,    84.202,    63.813,     1.452
A51199,     0.000,    51.088,    52.782,     1.353
A51510,     0.000,    32.644,    39.037,     0.920
A51530,     0.000,   119.180,    71.058,     2.047
A51540,     0.000,   104.022,    19.247,     0.684
A51550,     0.000,    77.601,    46.023,     1.261
A51570,     0.000,    60.457,    16.686,     0.612
A51580,     0.000,   170.726,    66.400,     1.799
A51600,     0.000,   191.173,    63.062,     1.473
A51610,     0.000,    74.236,    56.879,     1.252
A51630,     0.000,    53.305,    37.708,     1.001
A51650,     0.000,    85.646,    36.922,     0.856
A51660,     0.000,    50.997,    85.461,     2.279
A51670,     0.000,    29.283,    57.995,     1.609
A51678,     0.000,    38.921,    43.877,     1.635
A51680,     0.000,   127.298,    56.539,     1.268
A51683,     0.000,   214.256,    61.619,     1.257
A51685,     0.000,   211.056,    61.915,     1.157
A51700,     0.000,    53.349,    54.087,     1.309
A51710,     0.000,   104.572,    30.250,     0.719
A51730,     0.000,     8.400,    26.695,     1.013
A51735,     0.000,    16.028,    74.745,     2.501
A51740,     0.000,    95.500,    38.025,     0.919
A51760,     0.000,    43.831,    21.071,     0.787
A51790,     0.000,    35.344,    22.138,     1.201
A51800,     0.000,    54.987,     7.389,     0.616
A51810,     0.000,    51.177,    57.997,     1.480
A51820,     0.000,   101.575,    77.253,     2.255
A51830,     0.000,    42.438,    55.469,     1.394
A51840,     0.000,    30.095,    27.620,     1.225
A54003,     0.000,    36.843,    59.714,     2.041
A54023,     0.000,   198.024,    72.370,     2.131
A54027,     0.000,    72.585,    59.496,     1.934
A54031,     0.000,   112.110,    62.242,     1.992
A54037,     0.000,    14.102,    45.734,     1.860
A54057,     0.000,    78.134,    61.345,     2.094
A54063,     0.000,   169.030,    69.576,     2.345
A54065,     0.000,    99.108,    51.716,     1.776
A54071,     0.000,    92.032,    56.867,     1.869
A54077,     0.000,   230.203,    67.424,     1.819
A54093,     0.000,   250.189,    63.776,     1.729
B24001,     0.000,    96.665,    68.362,     2.289
B24021,     0.000,   112.764,    72.739,     1.970
B42001,     0.000,   156.319,    48.522,     1.250
B42009,     0.000,   109.431,    57.378,     1.854
B42015,     0.000,   109.968,    52.736,     1.888
B42027,     0.000,   123.325,    76.433,     2.007
B42035,     0.000,    81.861,    44.423,     1.610
B42041,     0.000,    34.759,    73.756,     2.233
B42043,     0.000,   109.923,    44.306,     1.396
B42055,     0.000,    97.870,    68.199,     2.124
B42079,     0.000,   178.094,    70.236,     2.502
B42081,     0.000,    54.119,    57.793,     2.044
B42119,     0.000,    97.335,    50.217,     1.750
B42131,     0.000,   150.482,    65.519,     2.394
B51003,     0.000,   105.196,    45.777,     1.147
B51009,     0.000,   140.262,    74.687,     1.781
B51015,     0.000,   125.216,    77.507,     2.207
B51017,     0.000,   136.042,    71.135,     2.390
B51019,     0.000,   136.961,    58.685,     1.354
B51023,     0.000,   156.595,    71.458,     1.957
B51061,     0.000,   113.892,    73.425,     1.631
B51079,     0.000,   168.618,    67.475,     1.408
B51091,     0.000,   174.388,    75.974,     2.305
B51113,     0.000,   171.041,    70.422,     1.402
B51125,     0.000,   137.466,    71.509,     1.623
B51139,     0.000,    50.345,    55.751,     1.945
B51157,     0.000,   172.587,    69.368,     1.362
B51163,     0.000,    80.347,    73.981,     2.027
B51165,     0.000,    90.557,    51.012,     1.757
B51171,     0.000,   131.364,    74.017,     2.168
B51187,     0.000,    46.749,    31.682,     1.301
B54023,     0.000,    50.745,    55.058,     1.873
B54031,     0.000,   114.154,    62.827,     1.938
B54057,     0.000,    24.365,    46.569,     1.802
B54071,     0.000,    44.160,    68.665,     2.276
C42009,     0.000,   158.573,    59.887,     1.609
C51015,     0.000,   128.777,    60.532,     1.858
C51165,     0.000,    59.388,    53.549,     2.019
end
