TABLE->,PHOS-CMAX,PHOS-SVALPM#1,PHOS-SVALPM#1,PHOS-SVALPM#1,PHOS-SVALPM#2,PHOS-SVALPM#2,PHOS-SVALPM#2,PHOS-SVALPM#3,PHOS-SVALPM#3,PHOS-SVALPM#3,PHOS-SVALPM#4,PHOS-SVALPM#4,PHOS-SVALPM#4
VARS->,CMAX,XFIX,K1,N1,XFIX,K1,N1,XFIX,K1,N1,XFIX,K1,N1
A42061,50,1.000000,1.163292,1.5,20.00000,21.49071,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42063,50,1.000000,0.463445,1.5,20.00000,53.94391,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42065,50,1.000000,1.531224,1.5,20.00000,16.32680,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42067,50,1.000000,20.81759,1.5,20.00000,1.200908,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42069,50,1.000000,17.63076,1.5,20.00000,1.417976,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42071,50,1.000000,6.353641,1.5,20.00000,3.934750,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42075,50,1.000000,39.39276,1.5,20.00000,0.634633,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42079,50,1.000000,3.566895,1.5,20.00000,7.008891,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42081,50,1.000000,3.232733,1.5,20.00000,7.733389,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42083,50,1.000000,5.679043,1.5,20.00000,4.402153,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42087,50,1.000000,0.575914,1.5,20.00000,43.40933,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42093,50,1.000000,1.059501,1.5,20.00000,23.59602,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42097,50,1.000000,27.80337,1.5,20.00000,0.899173,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42099,50,1.000000,17.76649,1.5,20.00000,1.407144,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42105,50,1.000000,1.097030,1.5,20.00000,22.78882,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42107,50,1.000000,21.82153,1.5,20.00000,1.145656,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42109,50,1.000000,15.05719,1.5,20.00000,1.660336,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42111,50,1.000000,1.143520,1.5,20.00000,21.86233,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42113,50,1.000000,2.412566,1.5,20.00000,10.36242,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
