TABLE->,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2
VARS->,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,IAMSU,INO3,ISLON,ISRON,AGPLTN,LITTRN
A36097,6.274000,1,0.03,0.3,0,50,744.1910,5,0.5,2,0,550,16.16750,5,1,8,0,300,1.259000,6,0.5,1,0,100,0,0,0,0,na,na
A36101,2.353500,1,0.03,0.3,0,50,587.6590,5,0.5,2,0,550,17.37550,5,1,8,0,300,1.132000,6,0.5,1,0,100,0,0,0,0,na,na
A36107,0.,1,0.03,0.3,0,50,720.4375,5,0.5,2,0,550,25.18850,5,1,8,0,300,2.045500,6,0.5,1,0,100,0,0,0,0,na,na
A36109,0.,1,0.03,0.3,0,50,810.0980,5,0.5,2,0,550,9.034500,5,1,8,0,300,0.851000,6,0.5,1,0,100,0,0,0,0,na,na
A36123,4.513000,1,0.03,0.3,0,50,756.0365,5,0.5,2,0,550,29.94650,5,1,8,0,300,2.097500,6,0.5,1,0,100,0,0,0,0,na,na
A37001,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
A37005,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
A37009,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
A37033,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
A37067,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
A37077,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
A37081,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
A37131,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
A37135,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
A37145,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
A37157,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
A37169,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
A37171,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
A37181,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
A37185,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
A37189,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
A42001,0.,1,0.03,0.3,0,50,420.1855,5,0.5,2,0,550,11.21450,5,1,8,0,300,0.640500,6,0.5,1,0,100,0,0,0,0,na,na
A42009,5.193000,1,0.03,0.3,0,50,590.8485,5,0.5,2,0,550,46.51150,5,1,8,0,300,4.260000,6,0.5,1,0,100,0,0,0,0,na,na
A42011,0.017000,1,0.03,0.3,0,50,581.3535,5,0.5,2,0,550,36.48550,5,1,8,0,300,3.082500,6,0.5,1,0,100,0,0,0,0,na,na
A42013,5.137500,1,0.03,0.3,0,50,604.0075,5,0.5,2,0,550,83.45700,5,1,8,0,300,7.230500,6,0.5,1,0,100,0,0,0,0,na,na
A42015,0.806500,1,0.03,0.3,0,50,637.4800,5,0.5,2,0,550,29.77950,5,1,8,0,300,2.659000,6,0.5,1,0,100,0,0,0,0,na,na
A42021,6.990500,1,0.03,0.3,0,50,466.9125,5,0.5,2,0,550,25.04750,5,1,8,0,300,2.178000,6,0.5,1,0,100,0,0,0,0,na,na
A42023,1.189000,1,0.03,0.3,0,50,779.4260,5,0.5,2,0,550,21.77000,5,1,8,0,300,4.280000,6,0.5,1,0,100,0,0,0,0,na,na
A42025,1.928000,1,0.03,0.3,0,50,292.7590,5,0.5,2,0,550,53.93750,5,1,8,0,300,6.870000,6,0.5,1,0,100,0,0,0,0,na,na
A42027,4.767500,1,0.03,0.3,0,50,136.5335,5,0.5,2,0,550,198.0065,5,1,8,0,300,14.44150,6,0.5,1,0,100,0,0,0,0,na,na
A42029,1.846000,1,0.03,0.3,0,50,466.3025,5,0.5,2,0,550,104.8800,5,1,8,0,300,10.46850,6,0.5,1,0,100,0,0,0,0,na,na
A42033,21.40950,1,0.03,0.3,0,50,428.0880,5,0.5,2,0,550,44.22100,5,1,8,0,300,4.007000,6,0.5,1,0,100,0,0,0,0,na,na
A42035,7.580000,1,0.03,0.3,0,50,503.9465,5,0.5,2,0,550,89.73950,5,1,8,0,300,9.013000,6,0.5,1,0,100,0,0,0,0,na,na
A42037,5.412500,1,0.03,0.3,0,50,501.3955,5,0.5,2,0,550,48.78950,5,1,8,0,300,3.803500,6,0.5,1,0,100,0,0,0,0,na,na
A42041,3.702000,1,0.03,0.3,0,50,437.9805,5,0.5,2,0,550,81.54500,5,1,8,0,300,6.853500,6,0.5,1,0,100,0,0,0,0,na,na
A42043,0.570500,1,0.03,0.3,0,50,405.7005,5,0.5,2,0,550,71.23900,5,1,8,0,300,6.134500,6,0.5,1,0,100,0,0,0,0,na,na
A42047,15.05250,1,0.03,0.3,0,50,681.1690,5,0.5,2,0,550,9.565001,5,1,8,0,300,0.775500,6,0.5,1,0,100,0,0,0,0,na,na
A42055,2.640000,1,0.03,0.3,0,50,132.3760,5,0.5,2,0,550,226.0975,5,1,8,0,300,13.39500,6,0.5,1,0,100,0,0,0,0,na,na
A42057,1.060000,1,0.03,0.3,0,50,412.6775,5,0.5,2,0,550,6.456500,5,1,8,0,300,0.666500,6,0.5,1,0,100,0,0,0,0,na,na
A42061,2.353000,1,0.03,0.3,0,50,516.6385,5,0.5,2,0,550,32.23850,5,1,8,0,300,2.501500,6,0.5,1,0,100,0,0,0,0,na,na
A42063,7.365500,1,0.03,0.3,0,50,515.5235,5,0.5,2,0,550,35.30200,5,1,8,0,300,3.156500,6,0.5,1,0,100,0,0,0,0,na,na
A42065,3.851500,1,0.03,0.3,0,50,497.1305,5,0.5,2,0,550,11.24850,5,1,8,0,300,0.961500,6,0.5,1,0,100,0,0,0,0,na,na
A42067,0.890500,1,0.03,0.3,0,50,229.9225,5,0.5,2,0,550,90.81551,5,1,8,0,300,5.238500,6,0.5,1,0,100,0,0,0,0,na,na
A42069,11.54950,1,0.03,0.3,0,50,262.6270,5,0.5,2,0,550,180.7855,5,1,8,0,300,18.21200,6,0.5,1,0,100,0,0,0,0,na,na
A42071,1.061500,1,0.03,0.3,0,50,162.2930,5,0.5,2,0,550,290.6900,5,1,8,0,300,21.70650,6,0.5,1,0,100,0,0,0,0,na,na
A42075,4.247500,1,0.03,0.3,0,50,138.3565,5,0.5,2,0,550,289.0315,5,1,8,0,300,18.53800,6,0.5,1,0,100,0,0,0,0,na,na
A42079,8.277000,1,0.03,0.3,0,50,446.6520,5,0.5,2,0,550,72.27450,5,1,8,0,300,8.573999,6,0.5,1,0,100,0,0,0,0,na,na
A42081,3.845000,1,0.03,0.3,0,50,437.5280,5,0.5,2,0,550,64.71500,5,1,8,0,300,6.777500,6,0.5,1,0,100,0,0,0,0,na,na
A42083,10.77350,1,0.03,0.3,0,50,879.1415,5,0.5,2,0,550,14.52900,5,1,8,0,300,1.201500,6,0.5,1,0,100,0,0,0,0,na,na
