landseg,SORGN,UORGN,LROGN,AORGN
A54063,     0.000,    72.938,    17.004,    11.898
A54065,     0.000,    58.337,     8.152,     9.657
A54071,     0.000,    83.348,    26.225,    11.498
A54077,     0.000,    96.814,     2.938,     6.060
A54093,     0.000,    98.017,     0.291,     7.624
B24001,     0.000,    63.701,    19.456,    10.832
B24021,     0.000,    49.388,    28.355,     8.333
B42001,     0.000,    72.180,    12.664,     4.116
B42009,     0.000,    83.768,    12.746,     7.714
B42015,     0.000,    81.850,    11.627,     8.223
B42027,     0.000,    45.799,    37.227,     8.482
B42035,     0.000,    56.523,    32.577,     7.950
B42041,     0.000,     2.663,    68.552,    17.358
B42043,     0.000,    67.253,    20.044,     6.551
B42055,     0.000,    59.905,    28.855,     9.513
B42079,     0.000,    50.765,    10.871,    10.011
B42081,     0.000,    42.101,    29.642,    10.291
B42119,     0.000,    61.269,    29.009,     7.742
B42131,     0.000,    76.470,     7.861,    10.040
B51003,     0.000,    61.420,    27.609,     6.040
B51009,     0.000,    58.727,    28.013,     7.300
B51015,     0.000,    65.062,    24.450,    10.609
B51017,     0.000,    45.138,    28.324,    11.245
B51019,     0.000,    67.877,    17.514,    25.807
B51023,     0.000,    60.865,    23.761,    10.366
B51061,     0.000,    50.066,    34.597,     7.961
B51079,     0.000,    88.317,    28.394,    13.902
B51091,     0.076,    53.765,    55.170,    16.514
B51113,     0.000,    77.914,    32.503,     8.952
B51125,     0.000,    56.822,    14.649,     5.747
B51139,     0.000,    22.156,    59.934,    26.486
B51157,     0.000,    78.085,    16.656,     5.648
B51163,     0.000,    42.898,    38.181,    10.847
B51165,     0.000,   105.774,    21.244,    12.386
B51171,     0.000,    68.071,    14.204,     9.720
B51187,     0.000,    47.134,    23.753,     9.410
B54023,     0.000,    34.366,    49.634,    27.319
B54031,     0.000,    63.363,    43.420,    15.144
B54057,     0.000,    26.372,    38.139,    28.010
B54071,     0.000,    29.428,    63.754,    21.204
C42009,     0.000,    89.781,    11.861,     7.051
C51015,     0.000,    71.936,    15.251,     9.134
C51165,     0.000,    81.979,    44.347,    18.899
end
